"scenario";"BRANCHE";"usage";"2015";"2020";"2025";"2030";"2050"
"AMS3";"Café Hôtel Restaurant";"Cuisson";98.4156369223574;95.7596321494963;91.4899607263194;87.430311469194;69.6304435293343
"AMS3";"Café Hôtel Restaurant";"ECS";32.6131951903002;31.828982270286;31.0427834371704;30.265768443119;26.9398893443864
"AMS3";"Café Hôtel Restaurant";"Eclairage";23.4998712327709;21.3030815993273;17.3947173447932;13.5740566482907;8.21271607752068
"AMS3";"Café Hôtel Restaurant";"Froid_alimentaire";14.1418016309469;13.3705925816382;12.7607475145051;12.1822185205852;10.1506900882905
"AMS3";"Café Hôtel Restaurant";"Process";1.98333121770862;1.97300342218001;1.90039592322257;1.83104828032517;1.5776951625809
"AMS3";"Café Hôtel Restaurant";"Ventilation";10.3853309519356;10.3928351943861;10.3838498693554;10.3818016378115;10.2173147548242
"AMS3";"Commerce";"Autre";25.1023830729396;24.9718693415128;24.0161199087506;23.1051435280344;19.8344248751061
"AMS3";"Commerce";"Auxiliaires";7.98814572187768;8.83707396942747;9.81425133270284;10.5042426155745;8.17434328570909
"AMS3";"Commerce";"Bureautique";3.18799189348096;3.33914286397209;3.00487728809986;2.70668480365568;2.01877276710852
"AMS3";"Commerce";"Chauffage";91.4059877007911;85.2243263552363;80.7951925306791;76.6125853713719;60.5314294890016
"AMS3";"Commerce";"Climatisation";15.804141453147;17.6898231668115;18.7843264386167;19.9110921150351;22.6106546963127
"AMS3";"Commerce";"Cuisson";5.44184769664841;5.32153914368745;5.06841880682883;4.82808610267845;3.81185312198151
"AMS3";"Commerce";"ECS";12.434285780601;12.2351774669312;12.0202118001777;11.8005288913878;10.4909679592055
"AMS3";"Commerce";"Eclairage";47.7328246607961;43.5247560513497;35.4111516619307;27.5774165187427;16.7210904561853
"AMS3";"Commerce";"Froid_alimentaire";22.741800472746;21.1839835347497;19.4097782187376;17.8012834609015;13.2196798532034
"AMS3";"Commerce";"Process";7.9775193751452;7.94181132007253;7.64233058519259;7.35679358382352;6.32206957714203
"AMS3";"Commerce";"Ventilation";3.11924543263849;3.11630559737797;3.10843760939177;3.10061560623386;3.03475323296614
"AMS3";"Enseignement Recherche";"Autre";4.71335940497965;4.68850388234849;4.51721761575444;4.35340160680417;3.75615962108755
"AMS3";"Enseignement Recherche";"Auxiliaires";4.28035926925305;3.62241980262712;2.9748885167815;2.27528967564849;0.970359913980604
"AMS3";"Enseignement Recherche";"Bureautique";2.74225762967163;2.86985037138441;2.58555977967358;2.33113225324906;1.73579879724664
"AMS3";"Enseignement Recherche";"Chauffage";79.3630576606368;69.9961540114966;63.0304067366119;56.405937862949;37.4648028341894
"AMS3";"Enseignement Recherche";"Climatisation";1.33202017181081;1.44166630727008;1.53981965950828;1.63815252913393;1.97107790703197
"AMS3";"Enseignement Recherche";"Cuisson";12.5712204702135;15.1994761317873;16.0489814429762;16.8225248654927;17.8665157785193
"AMS3";"Enseignement Recherche";"ECS";9.96104226404773;9.60185501324763;9.2810140904744;8.99449305195296;7.73255173994195
"AMS3";"Enseignement Recherche";"Eclairage";11.3710345605413;10.2375586851552;8.29880192683254;6.43268782104347;3.85861712656607
"AMS3";"Enseignement Recherche";"Froid_alimentaire";1.31000406742439;1.24036931465401;1.18559887283057;1.13353637241211;0.950471331043692
"AMS3";"Enseignement Recherche";"Process";1.09792111090016;1.09213208903157;1.0522335615985;1.01407482427767;0.874956167639723
"AMS3";"Enseignement Recherche";"Ventilation";1.21993227450982;1.22177727285175;1.22867969070479;1.23941398311621;1.22361665113479
"AMS3";"Habitat Communautaire";"Autre";9.48011082833092;9.42371398992277;9.07331788252684;8.73875727232265;7.51951152230011
"AMS3";"Habitat Communautaire";"Auxiliaires";4.52270460031823;3.67154724729446;3.06213418976206;2.63402637900816;1.77600415981063
"AMS3";"Habitat Communautaire";"Bureautique";1.07280411171748;1.12207855829098;1.01027599422451;0.910372196629351;0.678089100586884
"AMS3";"Habitat Communautaire";"Chauffage";87.4806421412616;70.6590991835157;60.2339864588523;53.5467514798567;36.1646239598601
"AMS3";"Habitat Communautaire";"Climatisation";7.48102933407421;8.92112017870014;9.70048872312638;10.5286032860227;11.6468525606991
"AMS3";"Habitat Communautaire";"Cuisson";24.1897707370528;23.5223735799388;22.4663957670985;21.4624149529357;17.075707325078
"AMS3";"Habitat Communautaire";"ECS";27.2416786997743;26.3699735872202;25.5966012346759;24.9460372183;21.7236885377472
"AMS3";"Habitat Communautaire";"Eclairage";16.3253031438052;14.080677745973;11.3776836904217;8.92386034354605;5.50352828332384
"AMS3";"Habitat Communautaire";"Froid_alimentaire";3.82795223513548;3.61753986716611;3.45171924837444;3.29442956225073;2.74286429884536
"AMS3";"Habitat Communautaire";"Process";6.03855145581377;6.0026277635433;5.77943543580392;5.56633087646372;4.78970754222783
"AMS3";"Habitat Communautaire";"Ventilation";6.66773294553336;6.74328478106343;6.79721976080706;6.85999256529664;6.78024735629063
"AMS3";"Santé Action Sociale";"Autre";15.9822039914077;15.8641352120318;15.2162843085106;14.6085030863843;12.4238320586021
"AMS3";"Santé Action Sociale";"Auxiliaires";5.57336584664021;4.57228741980985;3.71684342022306;2.59272369329232;0.759757912785952
"AMS3";"Santé Action Sociale";"Bureautique";1.06408995647766;1.11156321746914;0.997575033334179;0.897043060494836;0.676905634991106
"AMS3";"Santé Action Sociale";"Chauffage";106.92893231239;89.2087885012609;78.4650970164122;64.6185511238222;37.978515827109
"AMS3";"Santé Action Sociale";"Climatisation";12.7589321709492;13.6293955919016;13.8981289729443;14.1774761747643;14.4434624022005
"AMS3";"Santé Action Sociale";"Cuisson";11.566068805808;11.1448360549706;10.4764170506299;9.85971630339676;7.45478730764256
"AMS3";"Santé Action Sociale";"ECS";27.430844376644;26.5689973257994;25.688357098678;24.9377752415682;21.2901229576497
"AMS3";"Santé Action Sociale";"Eclairage";19.245223382912;16.8999625018993;13.3512211412737;10.0054993959243;5.90516971857502
"AMS3";"Santé Action Sociale";"Froid_alimentaire";7.53036507983744;7.06187109215518;6.65134352460683;6.27252584861891;5.01238498265921
