BRANCHE;ENERGIE;USAGE;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Commerce;Fioul;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Commerce;Fioul;Cuisson;22;22;22;18;17;16;14;15;15;15;15;15;15;15;14;16;16;15;15;15;15
Commerce;Fioul;ECS;573;572;575;582;566;535;538;537;530;521;524;522;518;508;504;499;492;484;474;462;472
Commerce;Fioul;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Commerce;Gaz;Autres usages thermiques;2217;2186;2238;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219;2219
Commerce;Gaz;Chauffage;7073;7206;7743;8083;8401;8659;8941;9462;9376;9618;9603;9569;9780;9835;9647;9719;9769;9571;9325;9337;9032
Commerce;Gaz;Climatisation;7;15;17;17;17;17;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
Commerce;Gaz;Cuisson;282;274;263;263;273;279;282;272;271;270;273;273;275;274;272;271;270;268;264;262;262
Commerce;Gaz;ECS;550;564;590;613;641;648;653;661;672;681;694;701;717;723;722;723;724;722;717;715;723
Commerce;Gaz;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Commerce;Autres comb.;Autres usages thermiques;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449;449
Commerce;Autres comb.;Chauffage;987;945;946;958;960;956;947;935;903;912;909;906;907;922;912;893;881;872;834;844;834
Commerce;Autres comb.;Climatisation;106;116;128;128;128;128;124;124;124;124;124;124;124;124;124;124;124;124;124;124;124
Commerce;Autres comb.;Cuisson;124;124;120;127;127;132;124;117;114;113;115;115;115;112;112;115;115;114;112;111;110
Commerce;Autres comb.;ECS;214;218;223;230;248;257;256;254;251;252;253;254;258;254;260;266;266;269;266;267;281
Commerce;Autres comb.;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enseignement Recherche;Electricité;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enseignement Recherche;Electricité;Chauffage;939;940;961;976;1000;968;961;1000;965;973;963;969;995;1019;1033;1039;1037;1031;1054;1037;1036
Enseignement Recherche;Electricité;Climatisation;84;91;102;139;157;170;173;186;191;205;224;233;242;248;262;267;280;292;305;324;339
Enseignement Recherche;Electricité;Cuisson;695;693;706;709;725;776;799;792;792;792;780;786;797;811;811;813;813;818;820;816;818
Enseignement Recherche;Electricité;ECS;510;508;517;518;536;551;554;565;568;572;569;577;588;600;602;609;614;621;624;622;625
Enseignement Recherche;Electricité;Electricité spécifique;2078;2108;2144;2187;2239;2301;2376;2465;2529;2601;2682;2753;2830;2915;3007;3168;3352;3538;3599;3551;3636
Enseignement Recherche;Fioul;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enseignement Recherche;Fioul;Chauffage;7293;7053;7373;7183;7022;6636;6746;6480;6269;6144;5988;5850;5636;5450;5257;4996;4794;4572;4480;4475;4348
Enseignement Recherche;Fioul;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enseignement Recherche;Fioul;Cuisson;36;36;35;32;21;23;23;20;20;20;20;20;20;20;19;19;19;19;19;19;19
Enseignement Recherche;Fioul;ECS;452;445;445;428;418;423;424;418;414;410;407;403;396;389;383;371;365;360;356;355;354
Enseignement Recherche;Fioul;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enseignement Recherche;Gaz;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enseignement Recherche;Gaz;Chauffage;7896;8266;8320;9043;9288;9476;9677;9707;9616;9780;9751;9821;9945;10066;10156;10121;10133;10048;10028;10021;10037
Enseignement Recherche;Gaz;Climatisation;4;5;6;6;6;6;6;6;6;6;6;6;6;5,8;5,8;5,8;5,8;5,8;5,8;5,8;5,8
Enseignement Recherche;Gaz;Cuisson;673;697;687;690;691;689;694;699;705;716;732;736;740;737;738;732;734;733;733;736;737
Enseignement Recherche;Gaz;ECS;923;952;968;1004;1010;1017;1048;1064;1090;1116;1152;1172;1193;1205;1215;1213;1219;1222;1224;1231;1238
Enseignement Recherche;Gaz;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enseignement Recherche;Autres comb.;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enseignement Recherche;Autres comb.;Chauffage;2427;2526;2631;2580;2609;2588;2554;2538;2479;2434;2422;2439;2419;2417;2425;2398;2391;2357;2344;2384;2360
Enseignement Recherche;Autres comb.;Climatisation;94;109;121;122;122;122;123;123;123;123;123;123;123;123;123;123;123;123;123;123;123
Enseignement Recherche;Autres comb.;Cuisson;159;159;159;158;155;142;129;131;131;130;130;130;128;126;126;126;126;125;125;126;126
Enseignement Recherche;Autres comb.;ECS;293;297;301;318;327;323;324;325;328;324;327;330;333;331;333;335;337;340;342;346;347
Enseignement Recherche;Autres comb.;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Habitat Communautaire;Electricité;Autres usages thermiques;338;342;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334
Habitat Communautaire;Electricité;Chauffage;615;635;655;714;715;744;762;784;769;763;744;837;892;934;1022;1060;1071;1084;1088;1100;1091
Habitat Communautaire;Electricité;Climatisation;46;54;59;65;81;88;89;102;103;133;168;176;188;207;218;234;246;257;270;283;300
Habitat Communautaire;Electricité;Cuisson;415;425;432;455;472;502;512;518;499;497;486;528;548;555;593;611;618;628;636;640;635
Habitat Communautaire;Electricité;ECS;303;302;304;310;301;302;299;303;303;301;295;326;346;361;386;402;408;415;417;420;422
Habitat Communautaire;Electricité;Electricité spécifique;923;945;953;978;1006;1029;1057;1068;1087;1109;1126;1157;1184;1231;1269;1306;1321;1332;1346;1385;1413
Habitat Communautaire;Fioul;Autres usages thermiques;274;284;294;294;294;294;294;294;294;294;294;294;294;294;294;294;294;294;294;294;294
