ID_AGREG;EXIGENCE;GESTE;GAIN;COUT;CEE
0102440701;RT par element;FENMOD;0.133280708;45;197.15625
0102440701;BBC renovation;FEN_MURBBC;0.295830986;55.8;708.65625
0102440701;RT par element;FEN_MURMOD;0.227300432;54.6;197.15625
0102440701;BBC renovation;ENSBBC;0.747047945;136.719341;2033.65625
0102440701;RT par element;ENSMOD;0.516591891;58.28950578;1522.15625
0102441102;BBC renovation;FENBBC;0;0;0
0102441102;RT par element;FENMOD;0;0;0
0102441102;BBC renovation;FEN_MURBBC;0.33401792;31.2;511.5
0102441102;RT par element;FEN_MURMOD;0;0;0
0102441102;BBC renovation;ENSBBC;0.743451568;125.8399889;511.5
0102441102;RT par element;ENSMOD;0;0;0
0102441703;BBC renovation;FENBBC;0.219991354;45;197.15625
0102441703;RT par element;FENMOD;0.221322631;45;197.15625
0102441703;BBC renovation;FEN_MURBBC;0.375179053;55.8;708.65625
0102441703;RT par element;FEN_MURMOD;0.377449449;54.6;197.15625
0102441703;BBC renovation;ENSBBC;0.947421851;152.3832098;4677.40625
0102441703;RT par element;ENSMOD;0.857839656;73.97243276;2840.90625
0102441904;BBC renovation;ENSBBC;0.380351815;159.5413975;511.5
0102441904;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102441904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;511.5
0102442005;BBC renovation;ENSBBC;0.380351815;159.5413975;511.5
0102442005;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102442005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;511.5
0102442106;BBC renovation;ENSBBC;0.380351815;159.5413975;511.5
0102442106;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102442106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;511.5
0102442207;BBC renovation;ENSBBC;0.380351815;159.5413975;511.5
0102442207;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102442207;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;511.5
0102442308;BBC renovation;ENSBBC;0.380351815;159.5413975;511.5
0102442308;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102442308;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;511.5
0102450701;BBC renovation;FENBBC;0;0;0
0102450701;RT par element;FENMOD;0;0;0
0102450701;BBC renovation;FEN_MURBBC;0;0;0
0102450701;RT par element;FEN_MURMOD;0;0;0
0102450701;BBC renovation;ENSBBC;0;0;0
0102450701;RT par element;ENSMOD;0;0;0
0102451102;BBC renovation;FENBBC;0;0;0
0102451102;RT par element;FENMOD;0;0;0
0102451102;BBC renovation;FEN_MURBBC;0;0;0
0102451102;RT par element;FEN_MURMOD;0;0;0
0102451102;BBC renovation;ENSBBC;0;0;0
0102451102;RT par element;ENSMOD;0;0;0
0102451703;BBC renovation;FENBBC;0;0;0
0102451703;RT par element;FENMOD;0;0;0
0102451703;BBC renovation;FEN_MURBBC;0;0;0
0102451703;RT par element;FEN_MURMOD;0;0;0
0102451703;BBC renovation;ENSBBC;0;0;0
0102451703;RT par element;ENSMOD;0;0;0
0102451904;BBC renovation;ENSBBC;0.380351815;159.5413975;0
0102451904;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102451904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;0
0102452005;BBC renovation;ENSBBC;0.380351815;159.5413975;0
0102452005;BBC renovation;FENBBC;0.124609553;50.83499308;0
0102452005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;0
0102452106;BBC renovation;ENSBBC;0.380351815;159.5413975;0
0102452106;BBC renovation;FENBBC;0.124609553;50.83499308;0
