BRANCHE;SS_BRANCHE;BAT_TYPE;EQ_CLIM;ID_AGREG;PERIODE;RDT;COUT
Enseignement Recherche;Enseignement primaire;Elémentaire;Climatisé;04091101;2;3.676625314;173.25
Enseignement Recherche;Enseignement primaire;Préélémentaire;Climatisé;04098601;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Cantine collége;Climatisé;04100201;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Cantine LEGT;Climatisé;04100401;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Cantine LP;Climatisé;04100501;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Collège;Climatisé;04100801;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Internat college;Climatisé;04104601;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Internat LEGT;Climatisé;04104701;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Internat LP;Climatisé;04104801;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);Climatisé;04104901;2;3.676625314;173.25
Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);Climatisé;04105001;2;3.676625314;173.25
Enseignement Recherche;Enseignement supérieur et recherche;école;Climatisé;04111001;2;3.722653246;190.5
Enseignement Recherche;Enseignement supérieur et recherche;R&D en sciences humaines et sociales;Climatisé;04118701;2;3.64831484;156
Enseignement Recherche;Enseignement supérieur et recherche;R&D sciences physiques et naturelles;Climatisé;04118801;2;3.627130457;156
Enseignement Recherche;Enseignement supérieur et recherche;université;Climatisé;04119401;2;3.708402715;190.5
Habitat Communautaire;Foyer;Foyers;Climatisé;05141301;2;3.360714152;156
Habitat Communautaire;Maison de pré-retraite;Maison de pré-retraite;Climatisé;05215101;2;3.37207522;156
Habitat Communautaire;Maison retraite médicalisée;Maison retraite médicalisée;Climatisé;05225201;2;3.349353083;156
Habitat Communautaire;Résidence universitaire;Résidence universitaire;Climatisé;05258901;2;3.360714152;156
Habitat Communautaire;Service à la personne;Résidentiel;Climatisé;05289001;2;3.360714152;156
Santé Action Sociale;Cabinet médical;Cabinet médical;Climatisé;06030101;2;3.634219239;156
Santé Action Sociale;Centre accueil;Centre accueil;Climatisé;06050701;2;3.634219239;156
Santé Action Sociale;Garderie;Garderie;Climatisé;06151401;2;3.634219239;156
Santé Action Sociale;Hôpital;Hopital bloc;Climatisé;06173401;2;3.630214963;156
Santé Action Sociale;Hôpital;Hopital maison;Climatisé;06173501;2;3.634345456;156
Santé Action Sociale;Hôpital;Hopital pavillonnaire;Climatisé;06173601;2;3.638097296;156
Sport Loisir Culture;Culture;Grand cinéma;Climatisé;07081801;2;3.660563006;155.4496855
Sport Loisir Culture;Culture;Grande salle de spectacle;Climatisé;07083201;2;3.673795163;155.4176471
Sport Loisir Culture;Culture;Immeuble péri urbain;Climatisé;07084301;2;3.613445471;156
Sport Loisir Culture;Culture;Musée;Climatisé;07085901;2;3.684750807;155.2065293
Sport Loisir Culture;Culture;Petit cinéma;Climatisé;07086501;2;3.64950384;155.4533333
Sport Loisir Culture;Culture;Petite salle de spectacle;Climatisé;07088001;2;3.661159323;155.398906
Sport Loisir Culture;Equipement collectif;Immeuble péri urbain;Climatisé;07134301;2;3.581908864;156
Sport Loisir Culture;Loisir;Grand bar café tabac;Climatisé;07201601;2;3.57168798;156
Sport Loisir Culture;Loisir;Salle non spécialisée;Climatisé;07209101;2;3.652569202;155.2963286
Sport Loisir Culture;Loisir;Vestiaire et rangement;Climatisé;07209501;2;3.63470853;155.5943541
Sport Loisir Culture;Sport;Grand bar café tabac;Climatisé;07291601;2;3.584354404;156
Sport Loisir Culture;Sport;Grande salle multisport;Climatisé;07293301;2;3.626002429;155.7717662
Sport Loisir Culture;Sport;Patinoire;Climatisé;07296101;2;3.642388112;155.4352941
Sport Loisir Culture;Sport;Petite salle multisport;Climatisé;07298101;2;3.640130702;155.5159127
Sport Loisir Culture;Sport;Piscine;Climatisé;07298201;2;3.63694348;155.5452358
Sport Loisir Culture;Sport;Salle non spécialisée;Climatisé;07299101;2;3.641425164;155.4246734
Sport Loisir Culture;Sport;Vestiaire et rangement;Climatisé;07299501;2;3.63470853;155.5943541
Transport;Service;nr;Climatisé;08276001;2;1.2;128.8973583
Transport;Transport aérien;nr;Climatisé;08306001;2;1.2;128.8973583
Transport;Transport autre;nr;Climatisé;08316001;2;1.2;128.8973583
Transport;Transport ferroviaire;nr;Climatisé;08326001;2;1.2;128.8973583
Transport;Transport maritime et fluvial;nr;Climatisé;08336001;2;1.2;128.8973583
Transport;Transport routier;nr;Climatisé;08346001;2;1.2;128.8973583
Transport;Transport urbain;nr;Climatisé;08356001;2;1.2;128.8973583
Bureaux Administration;Administration;immeuble peri urbain;Non climatisé;01014202;2;0;0
Bureaux Administration;Administration;immeuble rénové;Non climatisé;01014402;2;0;0
Bureaux Administration;Administration;plateau large bureaux cloisonnés;Non climatisé;01018402;2;0;0
Bureaux Administration;Bureaux;immeuble peri urbain;Non climatisé;01024202;2;0;0
Bureaux Administration;Bureaux;immeuble rénové;Non climatisé;01024402;2;0;0
Bureaux Administration;Bureaux;immeuble résidentiel;Non climatisé;01024502;2;0;0
Bureaux Administration;Bureaux;plateau large bureau paysagés;Non climatisé;01028302;2;0;0
Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;Non climatisé;01028402;2;0;0
Bureaux Administration;Bureaux;plateau mince;Non climatisé;01028502;2;0;0
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Non climatisé;02041602;2;0;0
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Non climatisé;02043102;2;0;0
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Non climatisé;02046202;2;0;0
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Non climatisé;02047902;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Non climatisé;02182002;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Non climatisé;02182102;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Non climatisé;02182202;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Haut de gamme;Non climatisé;02183702;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Luxe;Non climatisé;02183802;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Bas de gamme;Non climatisé;02185302;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Haut de gamme;Non climatisé;02185402;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Luxe;Non climatisé;02185502;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;Non climatisé;02186702;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Haut de gamme;Non climatisé;02186802;2;0;0
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Luxe;Non climatisé;02186902;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;Non climatisé;02192302;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Haut de gamme;Non climatisé;02192402;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Luxe;Non climatisé;02192502;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Non climatisé;02193902;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Luxe;Non climatisé;02194002;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Bas de gamme;Non climatisé;02195602;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Haut de gamme;Non climatisé;02195702;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Luxe;Non climatisé;02195802;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Bas de gamme;Non climatisé;02197002;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Haut de gamme;Non climatisé;02197102;2;0;0
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Luxe;Non climatisé;02197202;2;0;0
Café Hôtel Restaurant;Restaurant;Grand restaurant rapide;Non climatisé;02262902;2;0;0
Café Hôtel Restaurant;Restaurant;Grand restaurant traditionnel;Non climatisé;02263002;2;0;0
Café Hôtel Restaurant;Restaurant;Petit restaurant rapide;Non climatisé;02267702;2;0;0
Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;Non climatisé;02267802;2;0;0
Commerce;Commerce de détail non alimentaire;Complexe brico;Non climatisé;03060902;2;0;0
Commerce;Commerce de détail non alimentaire;Grand brico;Non climatisé;03061702;2;0;0
Commerce;Commerce de détail non alimentaire;Grand librairie;Non climatisé;03062602;2;0;0
Commerce;Commerce de détail non alimentaire;Grand Mode;Non climatisé;03062702;2;0;0
Commerce;Commerce de détail non alimentaire;Petit brico;Non climatisé;03066402;2;0;0
Commerce;Commerce de détail non alimentaire;Petit librairie;Non climatisé;03067302;2;0;0
Commerce;Commerce de détail non alimentaire;Petit mode;Non climatisé;03067402;2;0;0
Commerce;Commerce de détail non alimentaire;ZAC Mode;Non climatisé;03069602;2;0;0
Commerce;Commerce de gros;Grand commerce de gros;Non climatisé;03071902;2;0;0
Commerce;Commerce de gros;Petit commerce de gros;Non climatisé;03076602;2;0;0
Commerce;Entrepôt;Entrepôt;Non climatisé;03121202;2;0;0
Commerce;Grand commerce alimentaire;Grand alimentaire;Non climatisé;03161502;2;0;0
Commerce;Grand commerce alimentaire;Hypermarché;Non climatisé;03164102;2;0;0
Commerce;Grand commerce alimentaire;Superette;Non climatisé;03169202;2;0;0
Commerce;Grand commerce alimentaire;Supermarché;Non climatisé;03169302;2;0;0
