BRANCHE;SS_BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;ID_AGREG;PERIODE;RDT;COUT;CEE
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Autre système centralisé performant;Urbain;0204312106;1;0.791531024;41.44099869;2117.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Chaudière condensation fioul;Fioul;0204312303;1;0.756655538;28.17811965;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Chaudière condensation gaz;Gaz;0204312404;1;0.984276467;20.26138129;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Electrique direct performant;Electricité;0204312602;1;1;12;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;PAC performant;Electricité;0204312902;1;3.397956279;107.9653405;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Rooftop performant;Electricité;0204313002;1;3.328610233;53.09443758;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Autre système centralisé;Autres;0204620101;1;0.732082912;38.82690569;119
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Autre système centralisé;Urbain;0204620106;1;0.718631359;38.83835617;2035
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Chaudière fioul;Fioul;0204620303;1;0.557298054;42.16296;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Chaudière gaz;Gaz;0204620404;1;0.673018752;42.16296;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Electrique direct;Electricité;0204620602;1;0.92;10.4;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;PAC;Electricité;0204620902;1;2.944895442;72.29716354;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Rooftop;Electricité;0204621002;1;2.804101953;69.855135;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Autre système centralisé performant;Autres;0204622101;1;0.844711052;46.22250678;119
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Autre système centralisé performant;Urbain;0204622106;1;0.829190029;46.2361383;2035
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Chaudière condensation fioul;Fioul;0204622303;1;0.747392582;50.194;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Chaudière condensation gaz;Gaz;0204622404;1;0.974998744;50.194;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Electrique direct performant;Electricité;0204622602;1;1;12;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;PAC performant;Electricité;0204622902;1;3.397956279;86.06805184;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Rooftop performant;Electricité;0204623002;1;3.328610233;83.160875;1312.5
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Autre système centralisé;Autres;0204790101;1;0.735666303;77.469;119
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Autre système centralisé;Urbain;0204790106;1;0.691367784;77.469;2035
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Chaudière fioul;Fioul;0204790303;1;0.553633231;84.32592;1043
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Chaudière gaz;Gaz;0204790404;1;0.669355351;84.32592;1043
