BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;COUT;DUREE_VIE;BESOIN_U;RDT;PM_2009;COUT_ENERGIE
Enseignement Recherche;Cantine collége;PAC;Electricité;118.2021261;20;318.1277205;2.783818605;0.1091469;0.0774
Santé Action Sociale;Hopital bloc;PAC;Electricité;30.64341027;20;121.9879316;2.774977641;0.13842045;0.0774
Commerce;Entrepôt;Autre système centralisé performant;Autres;26.28976738;25;61.25040943;1.883932732;9.994E-05;0.015468227
Commerce;Entrepôt;Autre système centralisé performant;Urbain;26.59447206;25;57.17201074;1.868770105;9.994E-05;0.0616
Commerce;Entrepôt;Chaudière condensation fioul;Fioul;8.540409898;20;61.88186616;0.761583139;9.994E-05;0.074414716
Commerce;Entrepôt;Chaudière condensation gaz;Gaz;6.426774989;20;61.48221662;0.989367103;9.994E-05;0.0513
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;PAC;Electricité;51.96704806;20;76.16359376;2.831630233;0.111965454;0.0774
Bureaux Administration;plateau large bureaux cloisonnés;Autre système centralisé;Urbain;16.57629484;25;99.67190187;0.652663575;0.078234185;0.0616
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;PAC;Electricité;71.36552841;20;126.1623757;2.838613953;0.111905729;0.0774
Commerce;Entrepôt;Electrique direct performant;Electricité;12;13;61.13423136;1;9.994E-05;0.0774
Café Hôtel Restaurant;Petit bar café tabac;Rooftop;Electricité;66.5287;17;119.6938962;2.672974884;0.109466078;0.0774
Commerce;Entrepôt;Rooftop performant;Electricité;29.96007739;17;61.13423136;3.328610233;9.994E-05;0.0774
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;PAC;Electricité;64.67432483;20;95.40528029;2.831630233;0.122794909;0.0774
Enseignement Recherche;R&D en sciences humaines et sociales;Autre système centralisé;Autres;17.51265007;25;84.9870304;0.789730031;0.079866868;0.015468227
Commerce;Grand alimentaire;Autre système centralisé performant;Autres;33.58122854;25;91.61734955;1.980789447;9.994E-05;0.015468227
Commerce;Grand alimentaire;Autre système centralisé performant;Urbain;32.97319468;25;91.19129398;2.022;9.994E-05;0.0616
Commerce;Grand alimentaire;Chaudière condensation fioul;Fioul;18.55968364;20;86.06037263;0.757500176;9.994E-05;0.074414716
Commerce;Grand alimentaire;Chaudière condensation gaz;Gaz;13.60675363;20;86.47517264;0.986787164;9.994E-05;0.0513
Enseignement Recherche;Internat college;Electrique direct;Electricité;10;13;101.1318771;0.9;0.120299591;0.0774
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;PAC;Electricité;65.81904673;20;100.6179846;2.900572093;0.099546735;0.0774
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;PAC;Electricité;50.83460031;20;70.5546691;2.831630233;0.129752401;0.0774
Commerce;Grand alimentaire;Electrique direct performant;Electricité;12;13;86.32690769;1;9.994E-05;0.0774
Café Hôtel Restaurant;Grand bar café tabac;Electrique direct;Electricité;10;13;76.72378167;0.9;0.140802774;0.0774
Commerce;Grand alimentaire;PAC performant;Electricité;93.62173364;20;80.54561241;3.363789767;9.994E-05;0.0774
Sport Loisir Culture;Grande salle de spectacle;Electrique direct;Electricité;10;13;39.23363764;0.9;0.125279449;0.0774
