annee;branche;periodeSimple;energieChauffage;systeme_chauff;surface
2010;02;04;04;04;40760.18249999999
2010;02;04;04;24;19089.871799999997
2010;02;04;06;01;7.801
2010;03;01;01;01;1926358.2834000003
2010;03;01;02;06;8183027.454399996
2010;03;01;02;09;2129418.1536000003
2010;03;01;02;10;4529751.940800001
2010;03;01;02;26;68352.9085
2010;03;01;03;03;1.0019056890099999E7
2010;03;01;04;04;1.7366252994E7
2010;03;01;04;24;49716.202300000004
2010;03;01;06;01;1186165.7736999996
2010;03;02;01;01;1905390.4384999995
2010;03;02;02;06;8148200.307000003
2010;03;02;02;09;2059059.6003
2010;03;02;02;10;4156855.8412
2010;03;02;02;26;87434.95999999998
2010;03;02;03;03;9667195.711699998
2010;03;02;04;04;1.6814098572200004E7
2010;03;02;04;24;48152.162899999996
2010;03;02;06;01;776875.5676000001
2010;03;03;01;01;4454775.6476
2010;03;03;02;06;1.8399989696300007E7
2010;03;03;02;09;5654888.530299999
2010;03;03;02;10;1.2442858862300001E7
2010;03;03;02;26;112328.4601
2010;03;03;03;03;2.51636384482E7
2010;03;03;04;04;4.237249966430001E7
2010;03;03;04;24;123686.9985
2010;03;03;06;01;4919042.718599999
2010;03;04;01;01;169377.50490000003
2010;03;04;02;06;189841.01089999996
2010;03;04;02;09;171243.28979999994
2010;03;04;02;10;403176.2062
2010;03;04;02;26;134675.89
2010;03;04;02;29;1715.4423
2010;03;04;02;30;2938.3603999999996
2010;03;04;04;04;383431.248
2010;03;04;04;24;124830.69340000003
2010;03;04;06;01;158898.19769999996
2010;03;04;06;21;11325.4956
2010;04;01;01;01;2254345.6235000007
2010;04;01;02;06;3795570.4650000003
2010;04;01;02;09;1772711.0070999998
2010;04;01;03;03;1.1514852335299997E7
2010;04;01;04;04;3.3298394335699998E7
2010;04;01;04;24;74280.91999999998
2010;04;01;06;01;3566933.6724999994
2010;04;02;01;01;966839.4784999997
2010;04;02;02;06;1656778.9940000002
2010;04;02;02;09;871442.2889000002
2010;04;02;03;03;4610618.607200002
2010;04;02;04;04;1.3693591964699998E7
2010;04;02;04;24;48660.9522
2010;04;02;06;01;2070953.4745
2010;04;03;01;01;4070735.1116000013
2010;04;03;02;06;5203413.0945999995
2010;04;03;02;09;3780551.9509999994
2010;04;03;03;03;2.1783710639000006E7
2010;04;03;04;04;5.75889688922E7
2010;04;03;04;24;314825.13709999993
2010;04;03;06;01;5842673.6034
2010;04;04;01;01;17495.0357
2010;04;04;01;21;125.07140000000001
2010;04;04;02;06;348545.2597999998
2010;04;04;02;09;99413.7921
2010;04;04;02;26;123262.19569999997
2010;04;04;02;29;1587.7336000000003
2010;04;04;03;03;13742.235099999998
2010;04;04;04;04;792730.4005999998
2010;04;04;04;24;130936.5915
2010;04;04;06;01;24478.080499999993
2010;04;04;06;21;1485.8250999999998
2010;05;01;01;01;857880.9475999997
2010;05;01;02;06;3163156.6671
2010;05;01;02;09;820453.3555
2010;05;01;03;03;6123188.757500001
2010;05;01;04;04;9946521.564100001
2010;05;01;06;01;848016.4926000001
2010;05;02;01;01;296684.093
2010;05;02;02;06;1110193.2110000001
2010;05;02;02;09;289191.46050000004
2010;05;02;03;03;2258799.3713
2010;05;02;04;04;3990211.98
2010;05;02;06;01;434737.3939
2010;05;03;01;01;2112037.7375000007
2010;05;03;02;06;4470924.3212
2010;05;03;02;09;1306006.0896
2010;05;03;03;03;8998548.607199997
2010;05;03;04;04;1.5458720736200001E7
2010;05;03;06;01;1514809.6496000006
2010;05;04;01;01;103480.9573
2010;05;04;01;21;1504.7066000000002
2010;05;04;02;06;18734.1051
2010;05;04;02;09;87589.67399999998
2010;05;04;02;26;10263.764599999999
2010;05;04;02;29;4416.174599999999
2010;05;04;04;04;161951.94939999998
2010;05;04;04;24;34260.978
2010;05;04;06;01;148730.73859999995
2010;05;04;06;21;21406.472499999996
2010;06;01;01;01;740483.4279
2010;06;01;02;06;2748894.3119
2010;06;01;02;09;1719828.2229
2010;06;01;03;03;5764699.902300001
2010;06;01;04;04;1.56712463198E7
2010;06;01;06;01;2414484.7155
2010;06;02;01;01;292150.6389
2010;06;02;02;06;1883788.8924000002
2010;06;02;02;09;1267015.9405
2010;06;02;03;03;3070703.4072
2010;06;02;04;04;9402904.590600003
2010;06;02;06;01;1160978.7963
