BRANCHE;BAT_TYPE;USAGE;Etat de référence RT2000;2010-2015;2015-2020;2020-2030;2030-2040;2040-2050
Commerce;Grand Mode;Climatisation;65.49;45.84;36.67;29.34;23.47;18.78
Commerce;Grand process;Climatisation;65.48;45.84;36.67;29.34;23.47;18.78
Commerce;Hypermarché;Climatisation;55.81;39.07;31.25;25.00;20.00;16.00
Commerce;Petit boulangerie;Climatisation;89.54;62.68;50.14;40.11;32.09;25.67
Commerce;Petit brico;Climatisation;60.70;42.49;33.99;27.19;21.75;17.40
Commerce;Petit commerce de gros;Climatisation;45.06;31.54;25.23;20.19;16.15;12.92
Commerce;Petit librairie;Climatisation;60.70;42.49;33.99;27.19;21.75;17.40
Commerce;Petit mode;Climatisation;60.70;42.49;33.99;27.19;21.75;17.40
Commerce;Petit poissonnerie;Climatisation;42.40;29.68;23.74;18.99;15.20;12.16
Commerce;Petit process;Climatisation;60.70;42.49;33.99;27.19;21.75;17.40
Commerce;Superette;Climatisation;73.70;51.59;41.27;33.02;26.42;21.13
Commerce;Supermarché;Climatisation;60.95;42.67;34.13;27.31;21.85;17.48
Commerce;ZAC Mode;Climatisation;61.03;42.72;34.18;27.34;21.87;17.50
Enseignement Recherche;Cantine collége;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Cantine élémentaire;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Cantine LEGT;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Cantine LP;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Cantine préélémentaire;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Collège;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;école;Climatisation;4.52;3.16;2.53;2.02;1.62;1.29
Enseignement Recherche;Elémentaire;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Internat college;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Internat LEGT;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Internat LP;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Lycée professionnel (LP);Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;Préélémentaire;Climatisation;17.41;12.19;9.75;7.80;6.24;4.99
Enseignement Recherche;R&D en sciences humaines et sociales;Climatisation;53.85;37.70;30.16;24.12;19.30;15.44
Enseignement Recherche;R&D sciences physiques et naturelles;Climatisation;53.13;37.19;29.75;23.80;19.04;15.23
Enseignement Recherche;université;Climatisation;4.56;3.19;2.55;2.04;1.63;1.31
Habitat Communautaire;Foyers;Climatisation;39.22;27.46;21.96;17.57;14.06;11.25
Habitat Communautaire;Maison de pré-retraite;Climatisation;65.34;45.73;36.59;29.27;23.42;18.73
Habitat Communautaire;Maison retraite médicalisée;Climatisation;65.41;45.78;36.63;29.30;23.44;18.75
Habitat Communautaire;Résidence universitaire;Climatisation;39.22;27.46;21.96;17.57;14.06;11.25
Habitat Communautaire;Résidentiel;Climatisation;39.22;27.46;21.96;17.57;14.06;11.25
Santé Action Sociale;Cabinet médical;Climatisation;31.91;22.34;17.87;14.30;11.44;9.15
Santé Action Sociale;Centre accueil;Climatisation;31.91;22.34;17.87;14.30;11.44;9.15
Santé Action Sociale;Garderie;Climatisation;31.91;22.34;17.87;14.30;11.44;9.15
Santé Action Sociale;Hopital bloc;Climatisation;55.88;39.12;31.29;25.03;20.03;16.02
Santé Action Sociale;Hopital maison;Climatisation;50.14;35.10;28.08;22.46;17.97;14.38
Santé Action Sociale;Hopital pavillonnaire;Climatisation;53.54;37.48;29.98;23.99;19.19;15.35
Sport Loisir Culture;Grand bar café tabac loisir;Climatisation;80.93;56.65;45.32;36.26;29.01;23.21
Sport Loisir Culture;Grand cinéma;Climatisation;191.09;133.76;107.01;85.61;68.49;54.79
Sport Loisir Culture;Grande salle de spectacle;Climatisation;170.26;119.18;95.35;76.28;61.02;48.82
Sport Loisir Culture;Grande salle multisport;Climatisation;397.95;278.57;222.85;178.28;142.63;114.10
Sport Loisir Culture;Immeuble péri urbain;Climatisation;76.26;53.38;42.71;34.17;27.33;21.87
Sport Loisir Culture;Musée;Climatisation;155.89;109.12;87.30;69.84;55.87;44.70
Sport Loisir Culture;loisir nr;Auxiliaires;0.00;0.00;0.00;0.00;0.00;0.00
Sport Loisir Culture;Patinoire;Climatisation;341.32;238.93;191.14;152.91;122.33;97.86
Sport Loisir Culture;Petit cinéma;Climatisation;173.23;121.26;97.01;77.61;62.08;49.67
Sport Loisir Culture;Petite salle de spectacle;Climatisation;131.69;92.19;73.75;59.00;47.20;37.76
Sport Loisir Culture;Petite salle multisport;Climatisation;281.15;196.80;157.44;125.95;100.76;80.61
Sport Loisir Culture;Piscine;Climatisation;346.30;242.41;193.93;155.14;124.11;99.29
Sport Loisir Culture;Salle non spécialisée;Climatisation;95.53;66.87;53.50;42.80;34.24;27.39
Sport Loisir Culture;Vestiaire et rangement;Climatisation;123.63;86.54;69.23;55.38;44.31;35.45
Sport Loisir Culture;loisir nr;Ventilation;0.00;0.00;0.00;0.00;0.00;0.00
Bureaux Administration;immeuble peri urbain;Auxiliaires;1.23;0.86;0.43;0.34;0.28;0.22
Bureaux Administration;immeuble rénové;Auxiliaires;9.00;6.30;3.15;2.52;2.02;1.61
Bureaux Administration;immeuble résidentiel;Auxiliaires;0.45;0.32;0.16;0.13;0.10;0.08
Bureaux Administration;plateau large bureau paysagés;Auxiliaires;4.41;3.08;1.54;1.23;0.99;0.79
Bureaux Administration;plateau large bureaux cloisonnés;Auxiliaires;5.01;3.51;1.75;1.40;1.12;0.90
Bureaux Administration;plateau mince;Auxiliaires;5.96;4.17;2.09;1.67;1.33;1.07
Café Hôtel Restaurant;Grand bar café tabac;Auxiliaires;18.17;12.72;6.36;5.09;4.07;3.26
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Auxiliaires;14.61;10.23;5.11;4.09;3.27;2.62
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Auxiliaires;14.68;10.28;5.14;4.11;3.29;2.63
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Auxiliaires;15.75;11.03;5.51;4.41;3.53;2.82
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Auxiliaires;13.84;9.69;4.84;3.87;3.10;2.48
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Auxiliaires;12.11;8.48;4.24;3.39;2.71;2.17
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Auxiliaires;19.96;13.97;6.99;5.59;4.47;3.58
Café Hôtel Restaurant;Grand restaurant rapide;Auxiliaires;22.11;15.48;7.74;6.19;4.95;3.96
Café Hôtel Restaurant;Grand restaurant traditionnel;Auxiliaires;16.41;11.49;5.74;4.60;3.68;2.94
Café Hôtel Restaurant;Grande cantine;Auxiliaires;13.17;9.22;4.61;3.69;2.95;2.36
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Auxiliaires;19.96;13.97;6.99;5.59;4.47;3.58
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Auxiliaires;16.88;11.82;5.91;4.73;3.78;3.02
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Auxiliaires;19.96;13.97;6.99;5.59;4.47;3.58
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Luxe;Auxiliaires;19.96;13.97;6.99;5.59;4.47;3.58
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Auxiliaires;23.10;16.17;8.09;6.47;5.17;4.14
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Auxiliaires;20.43;14.30;7.15;5.72;4.58;3.66
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Auxiliaires;17.88;12.52;6.26;5.01;4.01;3.20
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Auxiliaires;20.81;14.56;7.28;5.83;4.66;3.73
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Auxiliaires;19.37;13.56;6.78;5.42;4.34;3.47
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Auxiliaires;17.39;12.18;6.09;4.87;3.90;3.12
Café Hôtel Restaurant;Petit bar café tabac;Auxiliaires;22.03;15.42;7.71;6.17;4.93;3.95
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Auxiliaires;31.22;21.86;10.93;8.74;6.99;5.60
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Auxiliaires;29.61;20.73;10.37;8.29;6.63;5.31
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Auxiliaires;26.90;18.83;9.42;7.53;6.03;4.82
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Auxiliaires;30.18;21.12;10.56;8.45;6.76;5.41
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Auxiliaires;27.64;19.35;9.67;7.74;6.19;4.95
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Auxiliaires;19.96;13.97;6.99;5.59;4.47;3.58
Café Hôtel Restaurant;Petit restaurant rapide;Auxiliaires;18.89;13.22;6.61;5.29;4.23;3.39
Café Hôtel Restaurant;Petit restaurant traditionnel;Auxiliaires;18.37;12.86;6.43;5.14;4.11;3.29
Café Hôtel Restaurant;Petite cantine;Auxiliaires;17.52;12.26;6.13;4.91;3.92;3.14
Commerce;Complexe brico;Auxiliaires;28.67;20.07;10.03;8.03;6.42;5.14
Commerce;Entrepôt;Auxiliaires;16.02;11.21;5.61;4.49;3.59;2.87
Commerce;Grand alimentaire;Auxiliaires;3.97;2.78;1.39;1.11;0.89;0.71
Commerce;Grand brico;Auxiliaires;41.89;29.32;14.66;11.73;9.38;7.51
Commerce;Grand commerce de gros;Auxiliaires;28.49;19.95;9.97;7.98;6.38;5.11
Commerce;Grand librairie;Auxiliaires;1.60;1.12;0.56;0.45;0.36;0.29
Commerce;Grand Mode;Auxiliaires;1.60;1.12;0.56;0.45;0.36;0.29
Commerce;Grand process;Auxiliaires;0.85;0.59;0.30;0.24;0.19;0.15
Commerce;Hypermarché;Auxiliaires;55.49;38.84;19.42;15.54;12.43;9.94
Commerce;Petit boulangerie;Auxiliaires;1.88;1.31;0.66;0.53;0.42;0.34
Commerce;Petit brico;Auxiliaires;1.46;1.02;0.51;0.41;0.33;0.26
Commerce;Petit commerce de gros;Auxiliaires;27.09;18.96;9.48;7.58;6.07;4.85
Commerce;Petit librairie;Auxiliaires;1.22;0.86;0.43;0.34;0.27;0.22
Commerce;Petit mode;Auxiliaires;1.49;1.05;0.52;0.42;0.33;0.27
Commerce;Petit poissonnerie;Auxiliaires;1.30;0.91;0.46;0.36;0.29;0.23
Commerce;Petit process;Auxiliaires;0.82;0.57;0.29;0.23;0.18;0.15
Commerce;Superette;Auxiliaires;2.85;2.00;1.00;0.80;0.64;0.51
Commerce;Supermarché;Auxiliaires;56.51;39.56;19.78;15.82;12.66;10.13
Commerce;ZAC Mode;Auxiliaires;46.50;32.55;16.28;13.02;10.42;8.33
Enseignement Recherche;Cantine collége;Auxiliaires;1.18;0.83;0.41;0.33;0.27;0.21
Enseignement Recherche;Cantine élémentaire;Auxiliaires;1.07;0.75;0.37;0.30;0.24;0.19
Enseignement Recherche;Cantine LEGT;Auxiliaires;1.25;0.88;0.44;0.35;0.28;0.22
Enseignement Recherche;Cantine LP;Auxiliaires;1.19;0.83;0.42;0.33;0.27;0.21
Enseignement Recherche;Cantine préélémentaire;Auxiliaires;1.06;0.74;0.37;0.30;0.24;0.19
Enseignement Recherche;Collège;Auxiliaires;0.15;0.11;0.05;0.04;0.03;0.03
Enseignement Recherche;école;Auxiliaires;0.52;0.37;0.18;0.15;0.12;0.09
Enseignement Recherche;Elémentaire;Auxiliaires;0.05;0.04;0.02;0.02;0.01;0.01
Enseignement Recherche;Internat college;Auxiliaires;0.48;0.33;0.17;0.13;0.11;0.09
Enseignement Recherche;Internat LEGT;Auxiliaires;0.48;0.34;0.17;0.14;0.11;0.09
Enseignement Recherche;Internat LP;Auxiliaires;0.50;0.35;0.17;0.14;0.11;0.09
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Auxiliaires;0.17;0.12;0.06;0.05;0.04;0.03
Enseignement Recherche;Lycée professionnel (LP);Auxiliaires;0.16;0.11;0.06;0.04;0.04;0.03
Enseignement Recherche;Préélémentaire;Auxiliaires;0.05;0.04;0.02;0.02;0.01;0.01
Enseignement Recherche;R&D en sciences humaines et sociales;Auxiliaires;2.06;1.44;0.72;0.58;0.46;0.37
