BRANCHE;BAT_TYPE;USAGE;Etat de référence RT2000;2010-2015;2015-2020;2020-2030;2030-2040;2040-2050
Commerce;Grand librairie;Climatisation;65.49;45.84;36.67;36.67;36.67;36.67
Commerce;Grand Mode;Climatisation;65.49;45.84;36.67;36.67;36.67;36.67
Commerce;Grand process;Climatisation;65.48;45.84;36.67;36.67;36.67;36.67
Commerce;Hypermarché;Climatisation;55.81;39.07;31.25;31.25;31.25;31.25
Commerce;Petit boulangerie;Climatisation;89.54;62.68;50.14;50.14;50.14;50.14
Commerce;Petit brico;Climatisation;60.7;42.49;33.99;33.99;33.99;33.99
Commerce;Petit commerce de gros;Climatisation;45.06;31.54;25.23;25.23;25.23;25.23
Commerce;Petit librairie;Climatisation;60.7;42.49;33.99;33.99;33.99;33.99
Commerce;Petit mode;Climatisation;60.7;42.49;33.99;33.99;33.99;33.99
Commerce;Petit poissonnerie;Climatisation;42.4;29.68;23.74;23.74;23.74;23.74
Commerce;Petit process;Climatisation;60.7;42.49;33.99;33.99;33.99;33.99
Commerce;Superette;Climatisation;73.7;51.59;41.27;41.27;41.27;41.27
Commerce;Supermarché;Climatisation;60.95;42.67;34.13;34.13;34.13;34.13
Commerce;ZAC Mode;Climatisation;61.03;42.72;34.18;34.18;34.18;34.18
Enseignement Recherche;Cantine collége;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Cantine élémentaire;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Cantine LEGT;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Cantine LP;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Cantine préélémentaire;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Collège;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;école;Climatisation;4.52;3.16;2.53;2.53;2.53;2.53
Enseignement Recherche;Elémentaire;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Internat college;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Internat LEGT;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Internat LP;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Lycée professionnel (LP);Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;Préélémentaire;Climatisation;17.41;12.19;9.75;9.75;9.75;9.75
Enseignement Recherche;R&D en sciences humaines et sociales;Climatisation;53.85;37.7;30.16;30.16;30.16;30.16
Enseignement Recherche;R&D sciences physiques et naturelles;Climatisation;53.13;37.19;29.75;29.75;29.75;29.75
Enseignement Recherche;université;Climatisation;4.56;3.19;2.55;2.55;2.55;2.55
Habitat Communautaire;Foyers;Climatisation;39.22;27.46;21.96;21.96;21.96;21.96
Habitat Communautaire;Maison de pré-retraite;Climatisation;65.34;45.73;36.59;36.59;36.59;36.59
Habitat Communautaire;Maison retraite médicalisée;Climatisation;65.41;45.78;36.63;36.63;36.63;36.63
Habitat Communautaire;Résidence universitaire;Climatisation;39.22;27.46;21.96;21.96;21.96;21.96
Habitat Communautaire;Résidentiel;Climatisation;39.22;27.46;21.96;21.96;21.96;21.96
Santé Action Sociale;Cabinet médical;Climatisation;31.91;22.34;17.87;17.87;17.87;17.87
Santé Action Sociale;Centre accueil;Climatisation;31.91;22.34;17.87;17.87;17.87;17.87
Santé Action Sociale;Garderie;Climatisation;31.91;22.34;17.87;17.87;17.87;17.87
Santé Action Sociale;Hopital bloc;Climatisation;55.88;39.12;31.29;31.29;31.29;31.29
Santé Action Sociale;Hopital maison;Climatisation;50.14;35.1;28.08;28.08;28.08;28.08
Santé Action Sociale;Hopital pavillonnaire;Climatisation;53.54;37.48;29.98;29.98;29.98;29.98
Sport Loisir Culture;Grand bar café tabac loisir;Climatisation;80.93;56.65;45.32;45.32;45.32;45.32
Sport Loisir Culture;Grand cinéma;Climatisation;191.09;133.76;107.01;107.01;107.01;107.01
Sport Loisir Culture;Grande salle de spectacle;Climatisation;170.26;119.18;95.35;95.35;95.35;95.35
Sport Loisir Culture;Grande salle multisport;Climatisation;397.95;278.57;222.85;222.85;222.85;222.85
Sport Loisir Culture;Immeuble péri urbain;Climatisation;76.26;53.38;42.71;42.71;42.71;42.71
Sport Loisir Culture;Musée;Climatisation;155.89;109.12;87.3;87.3;87.3;87.3
Sport Loisir Culture;loisir nr;Auxiliaires;0;0;0;0;0;0
Sport Loisir Culture;Patinoire;Climatisation;341.32;238.93;191.14;191.14;191.14;191.14
Sport Loisir Culture;Petit cinéma;Climatisation;173.23;121.26;97.01;97.01;97.01;97.01
Sport Loisir Culture;Petite salle de spectacle;Climatisation;131.69;92.19;73.75;73.75;73.75;73.75
Sport Loisir Culture;Petite salle multisport;Climatisation;281.15;196.8;157.44;157.44;157.44;157.44
Sport Loisir Culture;Piscine;Climatisation;346.3;242.41;193.93;193.93;193.93;193.93
Sport Loisir Culture;Salle non spécialisée;Climatisation;95.53;66.87;53.5;53.5;53.5;53.5
Sport Loisir Culture;Vestiaire et rangement;Climatisation;123.63;86.54;69.23;69.23;69.23;69.23
Sport Loisir Culture;loisir nr;Ventilation;0;0;0;0;0;0
Bureaux Administration;immeuble peri urbain;Auxiliaires;1.23;0.86;0.43;0.43;0.43;0.43
Bureaux Administration;immeuble rénové;Auxiliaires;9;6.3;3.15;3.15;3.15;3.15
Bureaux Administration;immeuble résidentiel;Auxiliaires;0.45;0.32;0.16;0.16;0.16;0.16
Bureaux Administration;plateau large bureau paysagés;Auxiliaires;4.41;3.08;1.54;1.54;1.54;1.54
Bureaux Administration;plateau large bureaux cloisonnés;Auxiliaires;5.01;3.51;1.75;1.75;1.75;1.75
Bureaux Administration;plateau mince;Auxiliaires;5.96;4.17;2.09;2.09;2.09;2.09
Café Hôtel Restaurant;Grand bar café tabac;Auxiliaires;18.17;12.72;6.36;6.36;6.36;6.36
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Auxiliaires;14.61;10.23;5.11;5.11;5.11;5.11
