BRANCHE,SS_BRANCHE,BAT_TYPE,PRODUCTION_CHAUD,ENERGIE,ID_AGREG,PERIODE,RDT,COUT,CEE
Bureaux Administration,Bureaux,plateau large bureau paysagés,PAC,Electricité,0102830902,1,"2,9448954419","44,7584571443",756
Bureaux Administration,Bureaux,plateau large bureau paysagés,Autre système centralisé performant,Autres,0102832101,1,"0,7709039634","18,4460411178",0
Bureaux Administration,Bureaux,plateau large bureau paysagés,Autre système centralisé performant,Urbain,0102832106,1,"0,7873243148","19,592132858",935
Bureaux Administration,Bureaux,plateau large bureau paysagés,Chaudière condensation fioul,Fioul,0102832303,1,"0,7252163057","5,2405354867",819
Bureaux Administration,Bureaux,plateau large bureau paysagés,Chaudière condensation gaz,Gaz,0102832404,1,"0,957295666","3,8974888916",819
Bureaux Administration,Bureaux,plateau large bureau paysagés,Electrique direct performant,Electricité,0102832602,1,1,12,0
Bureaux Administration,Bureaux,plateau large bureau paysagés,PAC performant,Electricité,0102832902,1,"3,3979562791","53,2838775528",819
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Autre système centralisé,Autres,0102840101,1,"0,6643176427","17,0296389363",0
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Autre système centralisé,Urbain,0102840106,1,"0,67983535","16,5333068411",935
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Chaudière fioul,Fioul,0102840303,1,"0,5546970091","4,2968103087",0
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Chaudière gaz,Gaz,0102840404,1,"0,7321896555","3,4846088299",364
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Electrique direct,Electricité,0102840602,1,"0,92","10,4",0
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,PAC,Electricité,0102840902,1,"2,9448954419","49,1083704452",756
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Autre système centralisé performant,Autres,0102842101,1,"0,766520357","20,273379686",0
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Autre système centralisé performant,Urbain,0102842106,1,"0,7844254038","19,6825081441",935
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Chaudière condensation fioul,Fioul,0102842303,1,"0,7252770225","5,1152503676",819
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Chaudière condensation gaz,Gaz,0102842404,1,"0,9573136874","4,1483438451",819
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,Electrique direct performant,Electricité,0102842602,1,1,12,0
Bureaux Administration,Bureaux,plateau large bureaux cloisonnés,PAC performant,Electricité,0102842902,1,"3,3979562791","58,4623457681",819
Bureaux Administration,Bureaux,plateau mince,Autre système centralisé,Autres,0102850101,1,"0,6749610676","20,4892296407",0
Bureaux Administration,Bureaux,plateau mince,Autre système centralisé,Urbain,0102850106,1,"0,6784769053","20,8884697351",935
Bureaux Administration,Bureaux,plateau mince,Chaudière fioul,Fioul,0102850303,1,"0,5546972832","5,011040427",0
