branche;occupation;periodeSimple;energieUsage;usage;usageSimple;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;04;02;Bureautique;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;02;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;02;Froid_alimentaire;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;02;Process;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;04;04;Autre;Autre;0.0;6272314.767000001;1.26386540755E7;1.91005749415E7;2.56596580995E7;3.2317518334499996E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7;3.9075784945499994E7
01;01;04;04;Cuisson;Cuisson;0.0;8.64255446945E7;1.7054558009499997E8;2.5063645664849997E8;3.2626111341200006E8;3.9732130366400003E8;4.638544925075E8;4.4452721507699996E8;4.26005317272E8;4.08255182967E8;3.9124453858150005E8;3.74942700925E8;3.5932018661050004E8;3.44348506911E8;3.30000638911E8;3.16250613887E8;3.030735185375E8;2.9044547313E8;2.783435698985E8;2.6674595451049998E8;2.5563153861599997E8;2.4498020558549997E8;2.3477270636999997E8;2.2499051651349998E8;2.1561591686150002E8;2.066319127295E8;1.98022252845E8;1.8977130768E8;1.81864169696E8;1.742864905945E8;1.67024562825E8;1.6006521649049997E8;1.5339585975300002E8;1.4700433642000002E8;1.408791708785E8;1.35009199628E8;1.2938379505849998E8;1.239927850085E8;1.1882641030950001E8;1.13875326057E8;1.09130536564E8;1.045834308875E8
01;01;05;01;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;05;01;Cuisson;Cuisson;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;05;02;Autre;Autre;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;05;02;Bureautique;Electricité Spécifique;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
