BRANCHE;SS_BRANCHE;BAT_TYPE;BRANCHE;SS_BRANCHE;BAT_TYPE;ID;SURFACE;taille bâtiment;Type facteur correctif;puissance;nb_etages_moy;taux_vitrage;hauteur étage;Smur/Spl;Sfen/Spl;Stoit/Spl;Splancher/Spl;Smur;Sfen;Stoit;Splancher;Smur/Sparois;Sfen/Sparois;Stoit/Sparois;Splancher/Sparois;FEN;FEN_MUR;ENS
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Haut de gamme;02;19;24;021924;1544;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,366470350962687;0,244313567308458;0,25;0,25;565,830221886389;377,220147924259;386;386;0,329920468720029;0,219946979146686;0,225066276066642;0,225066276066642;0,219946979146686;0,549867447866716;1
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Luxe;02;19;25;021925;2400;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,293938769133981;0,195959179422654;0,25;0,25;705,453045921555;470,30203061437;600;600;0,296938456699069;0,197958971132712;0,252551286084109;0,252551286084109;0,197958971132712;0,494897427831781;1
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Haut de Gamme;02;19;39;021939;4038;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,226610137751925;0,15107342516795;0,25;0,25;915,051736242274;610,034490828183;1009,5;1009,5;0,258191160602392;0,172127440401595;0,284840699498007;0,284840699498007;0,172127440401595;0,430318601003987;1
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Luxe;02;19;40;021940;4368;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,217881911760769;0,145254607840513;0,25;0,25;951,708190571038;634,472127047359;1092;1092;0,252430417219998;0,168286944813332;0,289641318983335;0,289641318983335;0,168286944813332;0,420717362033331;1
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Bas de gamme;02;19;56;021956;420;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,702648052522944;0,468432035015296;0,25;0,25;295,112182059636;196,741454706424;105;105;0,420475390594866;0,280316927063244;0,149603841170945;0,149603841170945;0,280316927063244;0,70079231765811;1
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Haut de gamme;02;19;57;021957;775;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,517263269837112;0,344842179891408;0,25;0,25;400,879034123762;267,252689415841;193,75;193,75;0,379752734959108;0,253168489972739;0,183539387534076;0,183539387534076;0,253168489972739;0,632921224931847;1
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Luxe;02;19;58;021958;1236;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,409593689271773;0,273062459514516;0,25;0,25;506,257799939912;337,505199959941;309;309;0,346333707977693;0,230889138651795;0,211388576685256;0,211388576685256;0,230889138651795;0,577222846629488;1
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Bas de gamme;02;19;70;021970;139;<5000m2;hotellerie;P<30kW;4;0,4;3;1,22139205873916;0,814261372492772;0,25;0,25;169,773496164743;113,182330776495;34,75;34,75;0,481687301464441;0,32112486764296;0,0985939154462995;0,0985939154462995;0,32112486764296;0,802812169107401;1
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Haut de gamme;02;19;71;021971;284;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,854482793899574;0,56965519593305;0,25;0,25;242,673113467479;161,782075644986;71;71;0,444086026269823;0,296057350846548;0,129928311441814;0,129928311441814;0,296057350846548;0,740143377116371;1
Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Luxe;02;19;72;021972;394;<5000m2;hotellerie;P>=30kW;4;0,4;3;0,725461519478225;0,483641012985483;0,25;0,25;285,831838674421;190,55455911628;98,5;98,5;0,424469278874952;0,282979519249968;0,14627560093754;0,14627560093754;0,282979519249968;0,70744879812492;1
