SCENARIO;BRANCHE;SS_BRANCHE;BAT_TYPE;PERIODE_DETAIL;PERIODE_SIMPLE;ENERGIE;BESOIN;SURFACE_CHAUFFEE;ETABLISSEMENTS;COUT_PLAN_MIN;COUT_PLAN_MAX;COUT_FEN_MIN;COUT_FEN_MAX;COUT_MUR_MIN;COUT_MUR_MAX;COUT_TOIT_MIN;COUT_TOIT_MAX
Maximal;Commerce;Grand commerce alimentaire;Superette;1999-2008;1999-2008;Autres;92276,995778689;19314,0976856;14912,1714822821;869134,395852;1062275,372708;6293176,82182092;7661258,73960808;57942,2930568;86913,4395852;0;0
BBC renovation;Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;1981-1998;1981-1998;Urbain;1586710,51418802;208782,215666666;110101,241415872;537955,412388888;691656,958785714;21907100,325472;30669940,4556608;4819562,07160384;6572130,0976416;1075910,82477777;1229612,3711746
Modeste bati;Santé Action Sociale;Garderie;Garderie;1979-1999;1981-1998;Urbain;16807267,9808431;195658,602730849;504090,918495705;0;0;0;0;0;0;0;0
Maximal;Bureaux Administration;Administration;immeuble rénové;1981-1998;1981-1998;Autres;277288,555810624;57374,6878287922;42311,2770608788;539071,470112381;808607,205168571;4647349,71413217;6196466,28550956;550797,003156405;688496,253945506;202151,801292142;336919,668820238
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;1999-2008;1999-2008;Urbain;215262,298999378;8772,7167832168;14747,1668356643;109658,959790209;120624,85576923;4332747,34382004;4874340,76179755;1135427,14652666;1453346,74755412;98693,0638111888;120624,85576923
Modeste bati;Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;avant 1960;Av 1980;Electricité;751914,248782646;4209,6396899192;2603,0368012259;126289,190697575;168385,587596767;336969,275996256;449292,367995009;149764,122665003;209669,771731004;84192,7937983837;126289,190697575
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Luxe;Av 1980;Av 1980;Fioul;2175996,23953497;338061,293221183;284758,419223879;0;0;195060192,321491;237464581,956597;34422387,0174762;0;6761225,86442366;7606379,09747662
BBC renovation;Café Hôtel Restaurant;Restaurant;Grand restaurant rapide;1981-1998;1981-1998;Urbain;1150994,58049139;21850;15380,75;0;0;5230890;6332130;722361;798399;2403500;2622000
Modeste bati;Commerce;Petit commerce alimentaire;Petit librairie;1981-1998;1981-1998;Urbain;367983,954202633;10083,4999999999;9699,7841864664;403339,999999999;504174,999999999;2035606,56249999;2464155,31249999;0;0;0;0
BBC renovation;Santé Action Sociale;Hôpital;Hopital maison;1979-1999;1981-1998;Urbain;16795676,5342138;627920,231489201;521209,862924703;3622659,67822938;4657705,30058063;19691288,3603544;27567803,7044961;11420947,2992391;15574019,044417;7245319,35645876;8280364,97881001
Maximal;Transport;Service;nr;Av 1980;Av 1980;Gaz;171573550,982194;1055484,63363047;2199678,60781216;0;0;0;0;0;0;0;0
Modeste bati;Transport;Transport ferroviaire;nr;Av 1980;Av 1980;Gaz;327760894,402864;1876048,1930833;3868602,67637243;0;0;0;0;0;0;0;0
Maximal;Transport;Service;nr;1981-1998;1981-1998;Autres;1216923,65625489;7290,2267372344;7290,2267372344;0;0;0;0;0;0;0;0
Modeste bati;Sport Loisir Culture;Loisir;Salle non spécialisée;1981-1998;1981-1998;Fioul;12635768,3070334;314122,54;304138,83145;0;0;5654205,72;8481308,58;26857477,17;37600468,038;0;0
BBC renovation;Sport Loisir Culture;Loisir;Vestiaire et rangement;1981-1998;1981-1998;Electricité;350875,768021036;14454,86507824;7948,592383497;0;0;0;0;1930756,97785347;2632850,42434564;1011840,5554768;1156389,2062592
Maximal;Sport Loisir Culture;Culture;Musée;Av 1980;Av 1980;Fioul;6850003,52158139;801665,6706672;485465,352030258;8882204,0408735;11842938,7211646;36074955,180024;48099940,240032;14429982,0720096;18037477,590012;13323306,0613102;16284040,7416014
Modeste bati;Sport Loisir Culture;Equipement collectif;Immeuble péri urbain;1999-2008;1999-2008;Autres;1497094,71524294;41655,446442185;26783,1708432012;0;0;0;0;0;0;0;0
