SCENARIO;BRANCHE;SS_BRANCHE;BAT_TYPE;PERIODE_DETAIL;PERIODE_SIMPLE;ENERGIE;BESOIN;SURFACE_CHAUFFEE;ETABLISSEMENTS;COUT_PLAN_MIN;COUT_PLAN_MAX;COUT_FEN_MIN;COUT_FEN_MAX;COUT_MUR_MIN;COUT_MUR_MAX;COUT_TOIT_MIN;COUT_TOIT_MAX
Modeste bati;Habitat Communautaire;Foyer;Foyers;1980-1999;1981-1998;Fioul;191504202,24257;2913892,12613375;6354022,58767929;0;0;182612106,65201;228265133,315013;0;0;0;0
BBC renovation;Santé Action Sociale;Garderie;Garderie;1979-1999;1981-1998;Gaz;16262583,9495679;1028274,38597231;2251019,59138656;0;0;52913790,0859064;64672410,1049968;30180458,0489985;41155170,0668161;23767554,7184617;27162919,6782419
Modeste bati;Commerce;Commerce de détail non alimentaire;Grand brico;1981-1998;1981-1998;Autres;19189706,6760798;237653,334438455;141156,181506138;0;0;0;0;0;0;20200533,4272687;22577066,7716533
BBC renovation;Commerce;Commerce de détail non alimentaire;Grand librairie;1999-2008;1999-2008;Fioul;5592327,67196408;262653,4863332;163810,310870214;0;0;20924727,7795654;31387091,6693481;3160596,94870746;3950746,18588433;1313267,431666;2188779,05277667
Maximal;Bureaux Administration;Administration;immeuble peri urbain;Av 1980;Av 1980;Urbain;1069929,47450259;95047,7346701327;72991,6666710777;1479251,49966151;1901894,78527909;11405728,1319016;16293897,331288;3055105,75555698;3910535,36711294;1267929,85685272;1690573,1424703
Maximal;Bureaux Administration;Administration;immeuble rénové;Av 1980;Av 1980;Gaz;20402615,9162197;2463742,13935573;2893046,03305598;17107462,9073842;22809950,5431789;199563113,287814;266084151,050419;23651924,537815;29564905,6722688;25661194,3610763;31363681,996871
Modeste bati;Enseignement Recherche;Enseignement secondaire;Internat college;avant 1960;Av 1980;Electricité;54948,3782925896;645,4678839427;322,7339419714;0;0;28438,5556703716;37918,0742271621;12639,3580111739;17695,1012156435;12909,3576788546;15060,9172919971
Modeste bati;Habitat Communautaire;Maison retraite médicalisée;Maison retraite médicalisée;Av 1974;Av 1980;Gaz;122545432,101453;4264464,92081529;9677049,87624819;32316410,3436147;43088547,1248196;241691430,459707;302114288,074634;140986667,910311;197381335,074436;0;0
Maximal;Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;1999-2008;1999-2008;Urbain;427340,956565296;19875;32154,725;894375;1093125;4285546,875;5217187,5;223593,75;335390,625;0;0
Modeste bati;Enseignement Recherche;Enseignement secondaire;Cantine LP;1961-1980;Av 1980;Electricité;1912538,52714004;8635,4192590553;4389,897506929;259062,577771659;345416,770362212;597367,825629171;836314,95588084;238947,130251668;334525,982352336;0;0
Modeste bati;Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Luxe;Av 1980;Av 1980;Autres;2046355,05755226;31712,2436560729;18489,2183086967;0;0;0;0;0;0;0;0
Modeste bati;Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;1999-2008;1999-2008;Urbain;2476771,60637631;23010;13681,95;920400;1150500;4098656,25;4961531,25;0;0;0;0
Modeste bati;Enseignement Recherche;Enseignement primaire;Cantine élémentaire;1981-1999;1981-1998;Autres;1872061,74095886;8650,6933604236;22008,9790869962;0;0;0;0;0;0;0;0
Maximal;Enseignement Recherche;Enseignement secondaire;Internat LEGT;1961-1980;Av 1980;Autres;217974,942900443;14056,9891273032;14056,9891273032;163998,206485204;210854,836909548;1101038,94223967;1513928,54557955;344074,667692776;440415,574646753;374853,043394752;421709,673819096
Modeste bati;Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Bas de gamme;Av 1980;Av 1980;Autres;764601,399328833;7654,5528005328;4752,9124877456;76545,528005328;95681,91000666;1057651,29631774;1322064,12039718;0;0;0;0
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Haut de gamme;1981-1998;1981-1998;Electricité;151861,160530433;14399;4068,01;179987,5;197986,25;2301734,8834788;2685357,3640586;842299,39847592;982682,63155524;359975;395972,5
BBC renovation;Transport;Transport aérien;nr;Av 1980;Av 1980;Fioul;40564519,5063268;182696,373033296;246294,32402432;0;0;0;0;0;0;0;0
Maximal;Transport;Transport aérien;nr;1999-2008;1999-2008;Fioul;2805154,40584601;16356,5976065233;16901,9327628327;0;0;0;0;0;0;0;0
Modeste bati;Sport Loisir Culture;Loisir;Vestiaire et rangement;1999-2008;1999-2008;Electricité;794474,106957187;17022,124317455;8426,9025682102;0;0;0;0;0;0;0;0
Modeste bati;Sport Loisir Culture;Loisir;Vestiaire et rangement;1981-1998;1981-1998;Gaz;2416091,39198326;24920,818070825;30875,203877525;0;0;0;0;3026099,33645958;4236539,07104341;0;0
Modeste bati;Sport Loisir Culture;Culture;Petit cinéma;1981-1998;1981-1998;Autres;292321,860505393;8683,5769607623;5311,8951173191;0;0;833623,388233185;1250435,08234977;170198,108430942;218826,139411211;86835,7696076234;173671,539215246
Maximal;Sport Loisir Culture;Culture;Musée;1999-2008;1999-2008;Autres;162638,443769108;32537,9345182;27771,432403688;0;0;1138827,708137;1626896,72591;1830258,81664875;2342731,2853104;508345,34071;571888,50829875
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine LP;2000-2007;1999-2008;Urbain;542653,865005691;7349,0523668544;7895,5906930577;257216,832839904;330707,356508448;813410,406813855;1118439,30936905;254190,752129329;325364,162725542;587924,189348353;661414,713016897
BBC renovation;Santé Action Sociale;Cabinet médical;Cabinet médical;Av 1980;Av 1980;Fioul;21048614,8509881;1269105,22308;8169297,93386857;0;0;48375305,1530409;72562957,7295614;14109463,939515;14109463,939515;19980074,7160798;19980074,7160798
Maximal;Santé Action Sociale;Centre accueil;Centre accueil;Av 1980;Av 1980;Fioul;14367196,9780318;2898460,0911994;4596195,05573478;32074648,7812157;41238834,1472774;269126288,899579;322951546,679494;104660223,702485;133965086,339181;73313482,9284932;82477668,2945548
Modeste bati;Enseignement Recherche;Enseignement primaire;Elémentaire;1961-1980;Av 1980;Electricité;46726658,2668112;1156231,62014797;713651,461569013;0;0;71924408,3057098;100694171,627993;33564723,8374568;46990613,3724396;0;0
BBC renovation;Enseignement Recherche;Enseignement supérieur et recherche;école;1981-1999;1981-1998;Gaz;26239495,2186993;1834124,0812542;2695877,0176383;0;0;132560081,497898;162017877,38632;64807150,954528;88373387,6652655;0;0
Maximal;Commerce;Commerce de détail non alimentaire;Grand brico;1999-2008;1999-2008;Autres;3632600,65653521;208246,147771543;122767,161734119;7288615,17200401;9371076,64971944;6490338,19585617;7965415,05855076;5506375,21739809;6085993,66133473;22907076,2548697;24989537,7325851
Modeste bati;Commerce;Commerce de détail non alimentaire;Grand Mode;1999-2008;1999-2008;Fioul;3609383,25119195;82437,4309494178;57332,2903021397;0;0;6567515,34329527;9851273,01494291;867997,449076475;1115996,72024118;274791,436498059;549582,872996118
Maximal;Café Hôtel Restaurant;Restaurant;Grand restaurant traditionnel;1981-1998;1981-1998;Gaz;25751234,6297172;1000900;1590129;40036000;60054000;124311780;165749040;6485832;8107290;0;0
BBC renovation;Bureaux Administration;Bureaux;immeuble peri urbain;Av 1980;Av 1980;Electricité;128585615,351801;4708488,12648505;8569178,67612484;0;0;322867756,43752;484301634,65628;133182949,789443;181613113,349241;45807398,5015355;64130357,9021497
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Bas de gamme;1981-1998;1981-1998;Fioul;82871,0328517215;7077,6569676467;7535,1632278926;79623,6408860254;97317,7833051422;1955879,92186894;2200364,91210255;585654,269769241;749637,465304629;159247,28177205;176941,424191167
Maximal;Enseignement Recherche;Enseignement secondaire;Internat LP;1981-1999;1981-1998;Gaz;608422,751994749;46003,7826798418;52420,2897251514;536710,797931488;690056,740197627;3603328,97479835;4954577,34034774;1126040,29887401;1441331,58255873;1226767,53812911;1380113,48039525
Maximal;Enseignement Recherche;Enseignement secondaire;Internat LP;1981-1999;1981-1998;Electricité;188819,041911165;12116,6377017341;6272,1239232109;141360,773186898;181749,565526012;949057,428856258;1304953,96467735;296580,445003001;379622,969603841;323110,33871291;363499,131052024
Maximal;Commerce;Commerce de détail non alimentaire;Petit librairie;1999-2008;1999-2008;Fioul;3568964,20868163;402717,232491044;309296,441907824;18122275,462097;22149447,7870074;98414023,689999;119808376,666085;906113,77310485;1359170,65965727;0;0
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Luxe;Av 1980;Av 1980;Electricité;4488047,74760544;47795;11650,06;0;0;0;0;0;0;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;Petit mode;1981-1998;1981-1998;Urbain;1975765,36096579;53769,23488032;211115,387575033;2150769,3952128;2688461,744016;10854664,2914646;13139856,7738782;0;0;0;0
Modeste bati;Bureaux Administration;Bureaux;plateau large bureau paysagés;1999-2008;1999-2008;Urbain;16086280,6240535;293985,030509938;149415,609723199;0;0;0;0;0;0;0;0
Maximal;Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;Av 1980;Av 1980;Electricité;7796406,55470344;1810383,48724999;1451483,95991666;5839758,49723611;7508260,92501785;303935869,680268;417911820,810369;47489979,6375419;60787173,9360537;13348019,4222539;15016521,8500357
Maximal;Santé Action Sociale;Hôpital;Hopital maison;1949-1978;Av 1980;Autres;5558619,54193533;257528,344238416;242905,61489854;2820453,9191245;3626297,89601722;12921551,8355547;17767133,7738877;5322798,36476234;6813181,9068958;6446751,81514172;7252595,79203444
BBC renovation;Santé Action Sociale;Hôpital;Hopital maison;2000-2007;1999-2008;Urbain;13826677,5466709;526660,204441461;387694,120699123;3125106,7853111;4017994,43825713;16515820,6942697;23122148,9719777;9579176,04480929;13062512,7883763;6250213,57062221;7143101,22356824
Modeste bati;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Haut de gamme;1999-2008;1999-2008;Fioul;2221501,93307986;16049,6666666666;9863,76;0;0;3518443,59544586;4398054,49430733;0;0;140434,583333333;180558,75
BBC renovation;Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;1981-1998;1981-1998;Fioul;2533466,63189323;378889,62375;211415,390292099;1119439,01068749;1439278,72802678;39756130,44084;55658582,617176;8746348,6969848;11926839,132252;2238878,021375;2558717,73871428
BBC renovation;Santé Action Sociale;Hôpital;Hopital pavillonnaire;Av 1915;Av 1980;Urbain;61876253,1739248;1803568,19921181;1663698,67668733;0;0;35385733,9261696;42462880,7114035;9328966,15951299;14926345,8552207;11025354,9431151;13781693,6788939
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;1981-1998;1981-1998;Fioul;10742140,8545589;233175,224956553;152225,079825998;0;0;69445195,312522;84326308,5937768;0;0;2331752,24956553;2914690,31195691
Modeste bati;Enseignement Recherche;Enseignement secondaire;Internat LP;1981-1999;1981-1998;Urbain;3451769,96007454;31207,3754803145;42890,9343366062;0;0;0;0;0;0;0;0
BBC renovation;Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;1981-1998;1981-1998;Autres;1615259,85752729;46800;27547,5;2106000;2574000;8336250;10091250;438750;702000;0;0
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Haut de gamme;1999-2008;1999-2008;Fioul;98444,107787792;11073,7738577212;6499,2704453441;124579,955899363;152264,390543666;2778589,02570425;3125912,65391728;827295,094153307;1058937,72051623;249159,911798727;276844,34644303
Maximal;Sport Loisir Culture;Loisir;nr;Av 1980;Av 1980;Non chauffé;0;0;0;0;0;0;0;0;0;0;0
BBC renovation;Sport Loisir Culture;Sport;Patinoire;1981-1998;1981-1998;Autres;90683,5997579701;21521,195;19473,366475;0;0;0;0;0;0;0;0
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;1981-1998;1981-1998;Urbain;256176,313621362;19578,0940734315;14703,069237937;244726,175917894;269198,793509684;3392086,07571066;3957433,75499577;1244586,69040784;1452017,80547581;489452,351835789;538397,587019368
Maximal;Commerce;Grand commerce alimentaire;Grand alimentaire;1981-1998;1981-1998;Fioul;367144,751483211;27245,742003;14622,6695518477;363276,56004;544914,84006;4883799,26221147;6511732,34961529;327857,095072823;409821,368841029;136228,710015;227047,850025
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Haut de gamme;1999-2008;1999-2008;Urbain;19185,1348736834;983;565,235;12287,5;13516,25;430990,8892384;484864,7503932;112533,020792375;144042,26661424;11058,75;13516,25
BBC renovation;Habitat Communautaire;Résidence universitaire;Résidence universitaire;Av 1960;Av 1980;Fioul;333525,202185762;26180,7943262315;38091,1643654736;229081,950354525;294533,936170104;1669290,98195679;2040244,53350275;952114,116594579;1298337,43171988;163629,964538947;229081,950354525
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Luxe;1981-1998;1981-1998;Urbain;429790,405347885;3686,8718518519;2193,6887518519;0;0;0;0;0;0;0;0
BBC renovation;Transport;Transport autre;nr;Av 1980;Av 1980;Urbain;1100196,63863015;6338,9303285504;6440,805078769;0;0;0;0;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement primaire;Cantine élémentaire;avant 1960;Av 1980;Fioul;3674502,37193906;57440,1408595743;61966,1233696159;2010404,9300851;2584806,33868084;4342474,65041982;5364233,39169507;2247869,23080555;3065276,22382575;1436003,52148935;2010404,9300851
Maximal;Commerce;Commerce de détail non alimentaire;Complexe brico;1981-1998;1981-1998;Fioul;3238756,04435568;335339,716934698;206124,589319064;3912296,69757147;5030095,75402047;8607052,61169935;10563200,9325401;9026227,37020653;9976356,56707037;12295789,6209389;13413588,6773879
BBC renovation;Commerce;Process;Grand librairie;Av 1980;Av 1980;Fioul;12523658,8002978;514504,760698712;616429,602496859;0;0;40988879,337598;61483319,0063971;6191207,28021444;7739009,10026806;2572523,80349356;4287539,67248927
BBC renovation;Café Hôtel Restaurant;Restaurant;Grand restaurant traditionnel;Av 1980;Av 1980;Autres;7509560,82925705;175850;186508;0;0;9706920;14560380;1139508;1424385;0;0
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Luxe;1981-1998;1981-1998;Gaz;1170609,93133951;157413,24686939;124278,159692165;0;0;90826896,8497507;110571874,425783;16028275,9785531;0;3148264,93738781;3541798,05456129
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Luxe;Av 1980;Av 1980;Electricité;48851374,6667223;1203393,49913588;679208,87581809;0;0;418067815,376133;507653775,813875;0;0;12033934,9913588;15042418,7391985
Modeste bati;Enseignement Recherche;Enseignement secondaire;Internat LP;1981-1999;1981-1998;Gaz;4141190,72986802;46003,7826798418;52420,2897251514;0;0;0;0;0;0;0;0
Modeste bati;Habitat Communautaire;Maison retraite médicalisée;Maison retraite médicalisée;1983-1988;1981-1998;Gaz;60864438,144272;1086590,16666666;1974377,35055555;0;0;61583231,7961499;76979039,7451874;0;0;0;0
BBC renovation;Commerce;Commerce de détail non alimentaire;Petit brico;Av 1980;Av 1980;Electricité;44004182,1314307;3739650,38060473;9061743,10239111;168284267,127213;205680770,93326;754941920,58458;913877061,760281;7011844,46363387;11218951,1418142;0;0
BBC renovation;Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Bas de gamme;Av 1980;Av 1980;Electricité;6053319,93971196;246952,917387452;244050,182192288;0;0;60983650,9772035;76229563,7215044;12784958,3313621;20455933,3301793;2469529,17387452;3086911,46734315
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Petit Hotel sans restaurant Bas de gamme;1999-2008;1999-2008;Gaz;343217,972795196;25114,0980583743;19640,3164340776;313926,225729679;345318,848302647;12403573,9832647;13954020,7311728;3250444,46328914;4160568,9130101;282533,603156711;345318,848302647
Maximal;Commerce;Commerce de détail non alimentaire;Petit mode;Av 1980;Av 1980;Electricité;4155011,12249414;580770,80738112;2514750,53278704;26134686,3321504;31942394,4059616;141925866,053761;172779315,195883;1306734,31660752;1960101,47491128;0;0
Maximal;Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;Av 1980;Av 1980;Gaz;8337582,50932829;377135;3640371,375;16971075;20742425;81319734,375;98997937,5;4242768,75;6364153,125;0;0
BBC renovation;Bureaux Administration;Administration;plateau large bureaux cloisonnés;1999-2008;1999-2008;Fioul;12632260,1995026;963597,4274375;655711,347273476;0;0;192105866,645707;232549206,992172;192105866,645707;232549206,992172;7244981,5407743;8279978,90374206
Modeste bati;Commerce;Grand commerce alimentaire;Supermarché;Av 1980;Av 1980;Gaz;314118556,227337;4123465,03318839;5998387,95273813;0;0;0;0;0;0;371111852,986955;412346503,318839
BBC renovation;Commerce;Grand commerce alimentaire;Supermarché;1999-2008;1999-2008;Autres;9849420,45969015;234701,294277999;143675,601486597;0;0;6688986,88692299;8097194,65259099;6763308,95601215;7475236,21453975;25817142,3705799;28164155,3133599
BBC renovation;Commerce;Grand commerce alimentaire;Supermarché;Av 1980;Av 1980;Autres;17998244,5208046;410674,987229;271764,446044633;0;0;11704237,1360265;14168287,0594005;11834284,2023109;13079998,32887;45174248,59519;49280998,46748
Modeste bati;Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;1999-2008;1999-2008;Fioul;454218,498881506;6650;3840,5;0;0;367080;550620;37705,5;48478,5;0;0
Modeste bati;Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;1981-1998;1981-1998;Electricité;660673,394227836;9775;2263,25;0;0;539580;809370;55424,25;71259,75;0;0
BBC renovation;Café Hôtel Restaurant;Restaurant;Grand restaurant rapide;1981-1998;1981-1998;Fioul;6902293,51146025;101900;73958,5;0;0;24394860;29530620;3368814;3723426;11209000;12228000
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Haut de gamme;Av 1980;Av 1980;Gaz;2168604,18786234;75181,3333333333;49356,0433333333;0;0;45768376,9641706;55403824,7461013;8076772,38443533;9777145,51800066;1315673,33333333;1503626,66666666
Maximal;Bureaux Administration;Administration;immeuble rénové;Av 1980;Av 1980;Urbain;1947027,42932719;207082,507135877;221339,940053914;1508617,52537114;2011490,03382819;16773683,0780061;22364910,7706748;1987992,06850442;2484990,08563053;2262926,28805671;2765798,79651376
BBC renovation;Habitat Communautaire;Maison de pré-retraite;Maison de pré-retraite;Av 1974;Av 1980;Urbain;2100900,21724695;130195,477182539;208739,796289682;1509357,23379629;1940602,15773809;8159282,957538;10199103,6969225;5235539,89297972;7139372,58133598;0;0
Maximal;Enseignement Recherche;Enseignement supérieur et recherche;université;1981-1999;1981-1998;Gaz;29705528,0335435;3968261,8761851;5957043,42554129;46296388,5554928;59523928,1427765;509872803,373394;701075104,638417;159335251,054185;203949121,349357;105820316,698269;119047856,285553
BBC renovation;Habitat Communautaire;Maison de pré-retraite;Maison de pré-retraite;1989-1999;1981-1998;Urbain;768329,457931531;35082,5;45637,7;405679,166666666;521587,5;2198602,060166;2748252,5752075;0;0;0;0
Maximal;Santé Action Sociale;Hôpital;Hopital bloc;1916-1948;Av 1980;Urbain;3798249,42519188;122641,666666666;77229,6416666666;415213,484848484;533845,909090909;3849937,37354666;5293663,88862666;1585911,69241562;2029966,966292;949059,393939393;1067691,81818181
Modeste bati;Transport;Transport routier;nr;Av 1980;Av 1980;Urbain;56246569,7239838;328071,907464255;5017994,9228032;0;0;0;0;0;0;0;0
Modeste bati;Sport Loisir Culture;Sport;Vestiaire et rangement;1981-1998;1981-1998;Electricité;26468404,5995849;563210,49;445985,3512;0;0;0;0;68389845,1981939;95745783,2774715;0;0
Maximal;Sport Loisir Culture;Sport;Petite salle multisport;Av 1980;Av 1980;Electricité;4082249,70689961;475526,86;299765,45723;16643440,1;21398708,7;10342709,347658;14775299,0680829;35091334,8111701;44916908,5582977;38042148,8;42797417,4
Maximal;Sport Loisir Culture;Culture;Immeuble péri urbain;1981-1998;1981-1998;Fioul;513569,866267456;70211,4410259399;67236,3474224856;0;0;10784477,3415843;14828656,3446785;2527611,87693383;3235343,20247531;1505598,1459887;1693797,91423729
BBC renovation;Sport Loisir Culture;Sport;Grand bar café tabac;1981-1998;1981-1998;Autres;86115,8817530227;6176,3;7722,5905;277933,5;339696,5;792110,475;958870,575;41690,025;66704,04;0;0
BBC renovation;Sport Loisir Culture;Sport;Grand bar café tabac;Av 1980;Av 1980;Electricité;188851,640356738;12606,0900007428;8792,9430464165;567274,050033426;693334,950040854;1616731,04259526;1957095,47261531;85091,1075050139;136145,772008022;0;0
Maximal;Santé Action Sociale;Garderie;Garderie;Av 1948;Av 1980;Fioul;821141,948678731;64029,4786174015;71509,4786174015;713565,167203018;917440,929261023;5491469,39294736;6589763,27153683;2135571,43059064;2733531,43115602;611627,286174015;815503,048232021
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine LP;1961-1980;Av 1980;Autres;848284,87523371;12382,4691521899;12670,7107260591;433386,420326649;557211,111848549;1370520,8192378;1884466,12645198;428287,756011815;548208,327695123;990597,532175199;1114422,22369709
Modeste bati;Enseignement Recherche;Enseignement supérieur et recherche;R&D en sciences humaines et sociales;1961-1980;Av 1980;Gaz;4696107,80086021;146794,350130031;393064,122870674;2187540,25194584;2916720,33592779;12477519,7610526;17468527,6654737;4991007,90442107;6987411,06618949;0;0
Maximal;Commerce;Commerce de détail non alimentaire;Complexe brico;Av 1980;Av 1980;Urbain;440499,895303807;43578,6637465224;27164,8042721293;508417,743709428;653679,956197837;1118519,0201819;1372727,88840505;1172992,3644639;1296465,24493379;1597884,33737249;1743146,54986089
Modeste bati;Transport;Transport aérien;nr;1999-2008;1999-2008;Urbain;168916,499700483;1017,9386050205;1017,9386050205;0;0;0;0;0;0;0;0
Modeste bati;Transport;Transport aérien;nr;Av 1980;Av 1980;Electricité;32493318,8698357;726113,083027826;1812921,87547345;0;0;0;0;0;0;0;0
Modeste bati;Café Hôtel Restaurant;Restaurant;Grand restaurant rapide;1999-2008;1999-2008;Urbain;681908,232873356;6000;3570;0;0;0;0;0;0;540000;600000
BBC renovation;Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);avant 1960;Av 1980;Autres;2327216,08619137;323692,065212498;323692,065212498;4794836,75233282;6164790,1101422;13356752,7933859;16499518,1565355;6914083,79892918;9428296,08944888;9589673,50466564;10959626,862475
Maximal;Enseignement Recherche;Enseignement secondaire;Internat college;2000-2007;1999-2008;Fioul;24828,2423741227;2152,1600732256;2152,1600732256;25108,5341876325;32282,4010983847;168571,806458346;231786,233880226;52678,6892492133;67428,722238993;57390,9352860173;64564,8021967694
Modeste bati;Enseignement Recherche;Enseignement supérieur et recherche;école;avant 1960;Av 1980;Electricité;4953101,70077229;115145,369347561;51476,4990348626;0;0;9246726,60482696;12945417,2467577;3698690,64193078;5178166,89870309;1151453,69347561;1727180,54021342
Modeste bati;Transport;Transport maritime et fluvial;nr;1981-1998;1981-1998;Fioul;1074119,59923102;5191,4321229061;5191,4321229061;0;0;0;0;0;0;0;0
Modeste bati;Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;1981-1998;1981-1998;Autres;122173,48329887;1200;714;0;0;66240;99360;6804;8748;0;0
Modeste bati;Transport;Transport aérien;nr;1981-1998;1981-1998;Fioul;4061682,21506716;21892,9887652249;21892,9887652249;0;0;0;0;0;0;0;0
BBC renovation;Sport Loisir Culture;Culture;Grand cinéma;1999-2008;1999-2008;Autres;163058,242589169;13458,8314035527;9309,9433391141;0;0;1841168,13600601;2228782,48042833;429605,898401404;474827,571917341;256755,779572193;280097,214078756
BBC renovation;Santé Action Sociale;Garderie;Garderie;Av 1948;Av 1980;Autres;119280,755698823;4620;4620;73150;94050;211324,234968;264155,29371;135599,7174378;184908,705597;52250;73150
BBC renovation;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Haut de gamme;Av 1980;Av 1980;Autres;33112,3309018904;2675,2;1591,744;0;0;427640,88897024;498914,37046528;117368,533446912;143450,429768448;53504;60192
Maximal;Enseignement Recherche;Enseignement secondaire;Internat college;avant 1960;Av 1980;Urbain;3581,1785604351;185,3226338079;185,3226338079;2162,0973944256;2779,8395071186;14062,1119155654;18144,6605362135;4536,1651108881;5806,2913419367;4941,9369015442;5559,6790142372
BBC renovation;Transport;Transport autre;nr;1981-1998;1981-1998;Electricité;8123,6375049181;194,6455968517;194,6455968517;0;0;0;0;0;0;0;0
Modeste bati;Enseignement Recherche;Enseignement supérieur et recherche;école;1981-1999;1981-1998;Gaz;101051528,038678;1834124,0812542;2695877,0176383;0;0;0;0;0;0;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;Complexe brico;1981-1998;1981-1998;Fioul;15158733,6306534;335339,716934698;206124,589319064;0;0;0;0;0;0;9501291,97981644;10619091,0362654
BBC renovation;Commerce;Commerce de gros;Grand commerce de gros;Av 1980;Av 1980;Electricité;128650289,221475;3717536,34281746;1784821,04146849;0;0;121547949,852589;147136991,926818;119693827,54211;132293177,809701;408928997,70992;446104361,138095
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;1999-2008;1999-2008;Fioul;1223487,22578184;68820,0651621338;47156,3123128408;0;0;11923713,508087;13910999,0927682;3281187,77085253;4010340,60881976;1376401,30324267;1548451,46614801
BBC renovation;Bureaux Administration;Bureaux;immeuble résidentiel;1999-2008;1999-2008;Electricité;43174984,5154151;380067,599933558;481752,718235961;0;0;0;0;0;0;0;0
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Haut de gamme;Av 1980;Av 1980;Autres;1320459,14268546;93260,1912518037;59061,2492412518;1049177,15158279;1282327,6297123;11700245,4301819;14625306,7877274;2786898,11418248;4459036,98269197;1865203,82503607;2098354,30316558
Modeste bati;Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);avant 1960;Av 1980;Fioul;41452104,4059502;1292881,12826472;1359682,07352808;0;0;56487325,7446313;75316434,3261751;25105478,108725;35147669,352215;31703304,6624157;36987188,7728183
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;1981-1998;1981-1998;Electricité;514380,536889209;22534,1574675324;6217,7808387446;0;0;5564684,99584191;6955856,24480239;1166612,11093428;1866579,37749485;225341,574675324;281676,968344155
Maximal;Commerce;Petit commerce alimentaire;Petit librairie;Av 1980;Av 1980;Urbain;438674,593598399;42314,9999999999;174896,463073668;1904174,99999999;2327324,99999999;10340728,1249999;12588712,4999999;95208,7499999999;142813,124999999;0;0
BBC renovation;Café Hôtel Restaurant;Restaurant;Petit restaurant rapide;1999-2008;1999-2008;Electricité;622681,936558541;31735;12669,571;1428075;1745425;5652796,875;6842859,375;297515,625;476025;0;0
Maximal;Enseignement Recherche;Enseignement supérieur et recherche;R&D en sciences humaines et sociales;1981-1999;1981-1998;Electricité;89954,9778047464;19629,3087504004;30268,3712499457;342856,653132007;440815,696884009;2669585,99005445;3670680,73632488;834245,621892018;1067834,39602178;783672,350016017;881631,393768019
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Haut de gamme;1999-2008;1999-2008;Gaz;3152154,91295603;279606,990264236;206539,817856817;3145578,64047265;3844596,11613324;35078958,8373568;43848698,5466961;8355507,13997242;13368811,4239558;5592139,80528472;6291157,28094531
BBC renovation;Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);2000-2007;1999-2008;Gaz;7371975,04828517;688351,817532635;688351,817532635;0;0;30074809,2719576;36758100,2212815;14703240,0885126;20049872,8479717;22026173,187608;25172769,3572663
