"BRANCHE";"SS_BRANCHE";"BAT_TYPE";"ID_AGREG";"GESTE";"PERIODE_DETAIL";"PERIODE_SIMPLE";"COD_BRANCHE";"COD_SS_BRANCHE";"COD_BAT_TYPE";"COD_PERIODE_DETAIL";"COD_PERIODE_SIMPLE";"BESOIN";"SURFACE_CHAUFFEE";"ETABLISSEMENTS";"COUT_PLAN_MIN";"COUT_PLAN_MAX";"COUT_FEN_MIN";"COUT_FEN_MAX";"COUT_MUR_MIN";"COUT_MUR_MAX";"COUT_TOIT_MIN";"COUT_TOIT_MAX";"BESOIN_INIT";"COUT_FENMUR_MOY_M2";"COUT_TOIT_MOY_M2";"COUT_FEN_MOY_M2";"COUT_MUR_MOY_M2";"COUT_PLAN_MOY_M2";"COUT_ENS_MOY_M2";"GAIN_TOT";"Smur/Sparois";"Sfen/Sparois";"Stoit/Sparois";"Splancher/Sparois";"REPART_FEN";"REPART_MUR";"REPART_PLAN";"REPART_TOIT";"REPART_PLANTOIT";"REPART_FENMUR";"REPART_ENS";"GAIN_FEN";"GAIN_FENMUR";"GAIN_ENS";"EXIGENCE";"CEE_TOIT";"CEE_PLAN";"CEE_FEN";"CEE_MUR";"CEE_FENMUR";"CEE_ENS"
"Sport Loisir Culture";"Culture";"Petite salle de spectacle";"0708801703";"ENS_BBC";"Av 1980";"Av 1980";"07";"08";"80";"17";"03";34995082.9899719;1871127.66427;1362500.44272658;56133829.9281;74845106.5708;19459727.708408;29189591.562612;36973482.6459751;46216853.307469;84200744.89215;102912021.53485;437939744.512942;40.3;60.3624981597798;17.1209994780466;27.1082491735738;43.8999986616581;148.491745473058;0.920091557278292;0.17082303911754;0.00899068626934418;0.410093137306558;0.410093137306558;0.00899068626934418;0.17082303911754;0.410093137306558;0.410093137306558;0.820186274613116;0.179813725386884;1;0.00827225453056144;0.165445090611229;0.920091557278292;"BBC renovation";516.6666666667;1033.3333333333;96.8302714476;94.9316386742;191.7619101218;1741.7619101218
"Sport Loisir Culture";"Culture";"Petite salle de spectacle";"0708801703";"ENS_MAX";"Av 1980";"Av 1980";"07";"08";"80";"17";"03";33984437.4083995;1871127.66427;1362500.44272658;56133829.9281;74845106.5708;43784387.3439179;58379183.1252239;36973482.6459751;46216853.307469;84200744.89215;102912021.53485;437939744.512942;55.8999999999999;55;31.1999999999999;24.7;40;150.9;0.92239928475504;0.17082303911754;0.00899068626934418;0.410093137306558;0.410093137306558;0.00899068626934418;0.17082303911754;0.410093137306558;0.410093137306558;0.820186274613116;0.179813725386884;1;0.00829300258430003;0.165860051686001;0.92239928475504;"Maximale";516.6666666667;1033.3333333333;96.8302714476;94.9316386742;191.7619101218;1741.7619101218
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713430701";"Etat initial";"1981-1998";"1981-1998";"07";"13";"43";"07";"01";70855406.4325493;997170.144303823;3272.000000183;0;0;0;0;0;0;0;0;70855406.4325493;0;0;0;0;0;0;0;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0;0;0;0;0;0;0;0;0;0;"Etat initial";0;0;0;0;NA;NA
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713430701";"ENS_MOD";"1981-1998";"1981-1998";"07";"13";"43";"07";"01";35912664.6447688;997170.144303823;830151.318189171;0;0;95728333.8531668;134019667.394434;0;0;0;0;70855406.4325493;0;0;134.4;0;0;0;0.493155618563055;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;1;0;0;0;0;0;0;0.493155618563055;0;0;"RT par element";0;0;2223.8622664818;0;NA;NA
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713430701";"ENS_BBC";"1981-1998";"1981-1998";"07";"13";"43";"07";"01";11764038.2369181;997170.144303823;830151.318189171;0;0;95728333.8531668;134019667.394434;31590350.1715451;43077750.233925;21500745.9419625;24572281.0765286;70855406.4325493;177.6;43.2558570702936;235.921750991174;75.8319913900199;0;355.009599451487;0.833971198117156;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0.316630148792548;0.316630148792548;0;0.366739702414904;0.366739702414904;0.633260297585096;1;0.264060424548535;0.528120849097069;0.833971198117156;"BBC renovation";516.6666666667;0;2223.8622664818;2180.2571240018;4404.1193904836;4920.7860571503
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713430701";"ENS_MAX";"1981-1998";"1981-1998";"07";"13";"43";"07";"01";7410473.07951348;997170.144303823;830151.318189171;0;0;153165334.165067;210602334.476967;35898125.1949375;45949600.24952;24572281.0765286;27643816.2110947;70855406.4325493;257.28;27.7222662240798;211.2;46.0799999999998;0;285.002266224079;0.895414147591294;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0.316630148792548;0.316630148792548;0;0.366739702414904;0.366739702414904;0.633260297585096;1;0.283515114782784;0.567030229565568;0.895414147591294;"Maximale";516.6666666667;0;2223.8622664818;2180.2571240018;4404.1193904836;4920.7860571503
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713431102";"Etat initial";"1999-2008";"1999-2008";"07";"13";"43";"11";"02";45263322.7083685;1039853.30020266;3104.000000145;0;0;0;0;0;0;0;0;45263322.7083685;0;0;0;0;0;0;0;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0;0;0;0;0;0;0;0;0;0;"Etat initial";0;0;0;0;NA;NA
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713431102";"ENS_MOD";"1999-2008";"1999-2008";"07";"13";"43";"11";"02";45263322.7083685;1039853.30020266;872228.094972921;0;0;0;0;0;0;0;0;45263322.7083685;0;0;0;0;0;0;0;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0;0;0;0;0;0;0;0;0;0;"RT par element";0;0;0;0;NA;NA
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713431102";"ENS_BBC";"1999-2008";"1999-2008";"07";"13";"43";"11";"02";11949326.3188496;1039853.30020266;872228.094972921;0;0;99825916.8194551;139756283.547237;34439941.302712;46419051.3210465;0;0;45263322.7083685;179.04;0;338.965950950606;112.58511942288;0;0;0.73600421701608;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0.5;0.5;0;0;0;1;0;0.36800210850804;0.73600421701608;0;"BBC renovation";0;0;2223.8622664818;2180.2571240018;4404.1193904836;NA
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713431102";"ENS_MAX";"1999-2008";"1999-2008";"07";"13";"43";"11";"02";6714488.27147459;1039853.30020266;872228.094972921;0;0;159721466.911128;219617017.002801;37434718.8072956;47916440.0733384;26588381.9406652;29911929.6832483;45263322.7083685;257.28;28.765528442732;211.2;46.0799999999999;0;286.045528442732;0.851657194617902;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0.316630148792548;0.316630148792548;0;0.366739702414904;0.366739702414904;0.633260297585096;1;0.26966034425211;0.539320688504221;0.851657194617902;"Maximale";516.6666666667;0;2223.8622664818;2180.2571240018;4404.1193904836;4920.7860571503
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713431703";"Etat initial";"Av 1980";"Av 1980";"07";"13";"43";"17";"03";434221209.744431;2290572.74414919;6914.000000327;0;0;0;0;0;0;0;0;434221209.744431;0;0;0;0;0;0;0;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0;0;0;0;0;0;0;0;0;0;"Etat initial";0;0;0;0;NA;NA
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713431703";"ENS_MOD";"Av 1980";"Av 1980";"07";"13";"43";"17";"03";90766544.3715616;2290572.74414919;2055267.30159472;0;0;175915986.750658;263873980.125987;65968495.0314967;92355893.0440952;13125854.4829631;19688781.7244446;434221209.744431;155.52;8.59557146776308;115.2;40.3199999999999;0;164.115571467763;0.790967040912202;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0.316630148792548;0.316630148792548;0;0.366739702414904;0.366739702414904;0.633260297585096;1;0.250444011854032;0.500888023708064;0.790967040912202;"RT par element";516.6666666667;0;2223.8622664818;2180.2571240018;4404.1193904836;4920.7860571503
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713431703";"ENS_BBC";"Av 1980";"Av 1980";"07";"13";"43";"17";"03";47949769.0476255;2290572.74414919;2055267.30159472;0;0;175915986.750658;263873980.125987;72565344.5346463;98952742.5472449;16407318.1037038;22970245.3451854;434221209.744431;158.4;12.94210783798;148.674315624727;55.7528683592726;0;217.36929182198;0.889572945835955;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0.316630148792548;0.316630148792548;0;0.366739702414904;0.366739702414904;0.633260297585096;1;0.281665614201864;0.563331228403727;0.889572945835955;"BBC renovation";516.6666666667;0;2223.8622664818;2180.2571240018;4404.1193904836;4920.7860571503
"Sport Loisir Culture";"Equipement collectif";"Immeuble péri urbain";"0713431703";"ENS_MAX";"Av 1980";"Av 1980";"07";"13";"43";"17";"03";15015067.2700769;2290572.74414919;2055267.30159472;22970245.3451854;29533172.5866668;307852976.813651;439789966.876644;82460618.7893709;105549592.050395;19688781.7244446;26251708.9659261;434221209.744431;238.08;11.4607619570174;192;46.0799999999999;12.8933572016446;262.434119158662;0.96542069587316;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0.316630148792548;0.316630148792548;0.183369851207452;0.183369851207452;0.366739702414904;0.633260297585096;1;0.305681298581724;0.611362597163448;0.96542069587316;"Maximale";516.6666666667;1033.3333333333;2223.8622664818;2180.2571240018;4404.1193904836;5954.1193904836
"Sport Loisir Culture";"Loisir";"Grand bar café tabac";"0720160701";"Etat initial";"1981-1998";"1981-1998";"07";"20";"16";"07";"01";29036676.0036632;294925.000028475;764.000000086;0;0;0;0;0;0;0;0;29036676.0036632;0;0;0;0;0;0;0;0.166432973230598;0.0713284170988276;0.381119304835287;0.381119304835287;0;0;0;0;0;0;0;0;0;0;"Etat initial";0;0;0;0;NA;NA
