"ID_AGREG";"EXIGENCE";"GESTE";"GAIN";"COUT";"CEE"
"0102421102";"BBC renovation";"FEN_MURBBC";0,705837740009817;159,857142535;3401,8470020285
"0102421102";"Maximale";"FEN_MURMAX";0,648923685217124;229,71428522;3401,8470020285
"0102421102";"RT par element";"FEN_MURMOD";0;0;0
"0102421102";"GTB";"GTB";0,15;20;0
"0102421703";"BBC renovation";"ENSBBC";0,87489151257965;197,935419217363;3918,5136686952
"0102421703";"Maximale";"ENSMAX";0,961207803727061;246,759644695933;4951,8470020285
"0102421703";"RT par element";"ENSMOD";0,779745109350084;150,923571959741;3918,5136686952
"0102421703";"BBC renovation";"FENBBC";0,340881291891343;130,921393396467;1717,764327757
"0102421703";"Maximale";"FENMAX";0,374512443199283;171,428571;1717,764327757
"0102421703";"RT par element";"FENMOD";0,303809691143866;102,8571426;1717,764327757
"0102421703";"BBC renovation";"FEN_MURBBC";0,681762583782686;141,42857115;3401,8470020285
"0102421703";"Maximale";"FEN_MURMAX";0,749024886398567;212,57142812;3401,8470020285
"0102421703";"RT par element";"FEN_MURMOD";0,607619382287732;138,85714258;3401,8470020285
"0102421703";"GTB";"GTB";0,15;20;0
"0102440701";"BBC renovation";"ENSBBC";0,732191978713323;133,248770385343;2631,8821722893
"0102440701";"Maximale";"ENSMAX";0,923389055698648;141,05726005962;3148,548838956
"0102440701";"RT par element";"ENSMOD";0,505092414428474;69,7546494257928;2631,8821722893
"0102440701";"BBC renovation";"FENBBC";0,181167006134807;99,6689779589599;1198,524661255
"0102440701";"Maximale";"FENMAX";0,228475093393599;108;1198,524661255
"0102440701";"RT par element";"FENMOD";0,124975529920733;53,9999999999999;1198,524661255
"0102440701";"BBC renovation";"FEN_MURBBC";0,603890020449356;65,9999999999999;2373,548838956
"0102440701";"Maximale";"FEN_MURMAX";0,76158364464533;120;2373,548838956
"0102440701";"RT par element";"FEN_MURMOD";0,416585099735777;64,7999999999999;2373,548838956
"0102440701";"GTB";"GTB";0,15;20;0
"0102441102";"BBC renovation";"ENSBBC";0,72314541707207;140,891091239977;1433,3575110343
"0102441102";"Maximale";"ENSMAX";0,781868116341571;150,746232595759;2631,8821722893
"0102441102";"RT par element";"ENSMOD";0;0;0
"0102441102";"BBC renovation";"FENBBC";0;0;0
"0102441102";"Maximale";"FENMAX";0,193458423402537;89,9999999999999;1198,524661255
"0102441102";"RT par element";"FENMOD";0;0;0
"0102441102";"BBC renovation";"FEN_MURBBC";0,59642868728352;35,9999999999999;1175,024177701
"0102441102";"Maximale";"FEN_MURMAX";0,644861411341789;128,4;2373,548838956
"0102441102";"RT par element";"FEN_MURMOD";0;0;0
"0102441102";"GTB";"GTB";0,15;20;0
"0102441703";"BBC renovation";"ENSBBC";0,94074662312083;112,075650615072;3148,548838956
"0102441703";"Maximale";"ENSMAX";0,951830928621395;142,761113350417;3148,548838956
"0102441703";"RT par element";"ENSMOD";0,849303500657155;86,3631600161843;3148,548838956
"0102441703";"BBC renovation";"FENBBC";0,232769893958317;68,1839704885302;1198,524661255
"0102441703";"Maximale";"FENMAX";0,235512494944126;108;1198,524661255
"0102441703";"RT par element";"FENMOD";0,210144029144181;54,0000000000001;1198,524661255
"0102441703";"BBC renovation";"FEN_MURBBC";0,775899646527721;66,0000000000001;2373,548838956
"0102441703";"Maximale";"FEN_MURMAX";0,785041649813753;120;2373,548838956
"0102441703";"RT par element";"FEN_MURMOD";0,700480097147268;64,8000000000002;2373,548838956
"0102441703";"GTB";"GTB";0,15;20;0
"0102450701";"BBC renovation";"ENSBBC";0;0;0
"0102450701";"Maximale";"ENSMAX";0;0;0
"0102450701";"RT par element";"ENSMOD";0;0;0
"0102450701";"BBC renovation";"FENBBC";0;0;0
"0102450701";"Maximale";"FENMAX";0;0;0
"0102450701";"RT par element";"FENMOD";0;0;0
"0102450701";"BBC renovation";"FEN_MURBBC";0;0;0
"0102450701";"Maximale";"FEN_MURMAX";0;0;0
"0102450701";"RT par element";"FEN_MURMOD";0;0;0
"0102450701";"GTB";"GTB";0,15;20;0
"0102451102";"BBC renovation";"ENSBBC";0;0;0
"0102451102";"Maximale";"ENSMAX";0;0;0
"0102451102";"RT par element";"ENSMOD";0;0;0
"0102451102";"BBC renovation";"FENBBC";0;0;0
"0102451102";"Maximale";"FENMAX";0;0;0
"0102451102";"RT par element";"FENMOD";0;0;0
"0102451102";"BBC renovation";"FEN_MURBBC";0;0;0
"0102451102";"Maximale";"FEN_MURMAX";0;0;0
"0102451102";"RT par element";"FEN_MURMOD";0;0;0
"0102451102";"GTB";"GTB";0,15;20;0
"0102451703";"BBC renovation";"ENSBBC";0;0;0
"0102451703";"Maximale";"ENSMAX";0;0;0
"0102451703";"RT par element";"ENSMOD";0;0;0
"0102451703";"BBC renovation";"FENBBC";0;0;0
"0102451703";"Maximale";"FENMAX";0;0;0
"0102451703";"RT par element";"FENMOD";0;0;0
"0102451703";"BBC renovation";"FEN_MURBBC";0;0;0
"0102451703";"Maximale";"FEN_MURMAX";0;0;0
"0102451703";"RT par element";"FEN_MURMOD";0;0;0
"0102451703";"GTB";"GTB";0,15;20;0
"0102830701";"BBC renovation";"ENSBBC";0,930627838658062;423,549140348058;1790,3679856669
"0102830701";"Maximale";"ENSMAX";0,95321356102335;244,858554134533;1790,3679856669
"0102830701";"RT par element";"ENSMOD";0;0;0
"0102830701";"BBC renovation";"FENBBC";0,3467825290245;327,724595376484;708,3788838516
"0102830701";"Maximale";"FENMAX";0,355198711730762;204,1958325;708,3788838516
"0102830701";"RT par element";"FENMOD";0;0;0
"0102830701";"BBC renovation";"FEN_MURBBC";0,693565058049;157,78768875;1402,8679856669
"0102830701";"Maximale";"FEN_MURMAX";0,710397423461524;233,8970445;1402,8679856669
"0102830701";"RT par element";"FEN_MURMOD";0;0;0
"0102830701";"GTB";"GTB";0,15;20;0
"0102831102";"BBC renovation";"ENSBBC";0,831035792972623;1093,43136663268;1532,0346523336
"0102831102";"Maximale";"ENSMAX";0,954954118713778;530,892874188288;1790,3679856669
"0102831102";"RT par element";"ENSMOD";0;0;0
"0102831102";"BBC renovation";"FENBBC";0,309671258504889;538,404692404223;708,3788838516
"0102831102";"Maximale";"FENMAX";0,355847300750697;259,885605;708,3788838516
"0102831102";"RT par element";"FENMOD";0;0;0
"0102831102";"BBC renovation";"FEN_MURBBC";0,619342517009778;426,9549225;1402,8679856669
"0102831102";"Maximale";"FEN_MURMAX";0,711694601501394;519,77121;1402,8679856669
"0102831102";"RT par element";"FEN_MURMOD";0;0;0
"0102831102";"GTB";"GTB";0,15;20;0
"0102831703";"BBC renovation";"ENSBBC";0,960302549847787;92,2003815368824;1790,3679856669
