BRANCHE;SS_BRANCHE;BAT_TYPE;S batiment moy;;;CEE_TOIT;CEE_FEN;CEE_PLAN;CEE_MUR;CEE_ITE;CEE_ITI;CEE_TOIT_Elec;CEE_FEN_Elec;CEE_PLAN_Elec;CEE_MUR_Elec;CEE_ITE_Elec;CEE_ITI_Elec
Commerce;Grand commerce alimentaire;Supermarché;1406;<5000m2;commerces;620;169,6174928578;1240;166,2916596645;3000;3000;400;109,7524953786;780;106,4266621853;1920;1920
Commerce;Petit commerce alimentaire;Petit boulangerie;63;<5000m2;commerces;620;1602,5921858931;1240;1571,1688096992;3000;3000;400;1036,9714144014;780;1005,5480382075;1920;1920
Commerce;Petit commerce alimentaire;Petit librairie;101;<5000m2;commerces;620;1265,7053291339;1240;1240,8875775823;3000;3000;400;818,9858012043;780;794,1680496527;1920;1920
Commerce;Petit commerce alimentaire;Petit poissonnerie;63;<5000m2;commerces;620;1602,5921858931;1240;1571,1688096992;3000;3000;400;1036,9714144014;780;1005,5480382075;1920;1920
Commerce;Process;Grand librairie;860;<5000m2;autres secteurs;516,6666666667;180,7310735049;1033,3333333333;177,1873269656;2500;2500;333,3333333333;116,9436357973;650;113,399889258;1600;1600
Commerce;Process;Grand process;1294;<5000m2;autres secteurs;516,6666666667;147,3380493043;1033,3333333333;144,4490679454;2500;2500;333,3333333333;95,336384844;650;92,4474034851;1600;1600
Commerce;Process;Petit process;83;<5000m2;autres secteurs;516,6666666667;1163,517723963;1033,3333333333;1140,7036509441;2500;2500;333,3333333333;752,8644096231;650;730,0503366042;1600;1600
Enseignement Recherche;Enseignement primaire;Cantine élémentaire;75;<5000m2;enseignement;620;2203,2;1240;2160;3000;3000;400;1425,6;780;1382,4;1920;1920
Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;97;<5000m2;enseignement;620;1937,3080696423;1240;1899,3216369042;3000;3000;400;1253,5522803568;780;1215,5658476187;1920;1920
Enseignement Recherche;Enseignement primaire;Elémentaire;897;<5000m2;enseignement;620;637,071729054;1240;624,5801265235;3000;3000;400;412,2228835055;780;399,7312809751;1920;1920
Enseignement Recherche;Enseignement primaire;Préélémentaire;1190;<5000m2;enseignement;620;553,1094440912;1240;542,2641608737;3000;3000;400;357,8943461766;780;347,0490629592;1920;1920
Enseignement Recherche;Enseignement secondaire;Cantine collége;261;<5000m2;enseignement;620;1181,0391683773;1240;1157,8815376248;3000;3000;400;764,2018148324;780;741,0441840799;1920;1920
Enseignement Recherche;Enseignement secondaire;Cantine LEGT;385;<5000m2;enseignement;620;972,4206881824;1240;953,3536158651;3000;3000;400;629,213386471;780;610,1463141537;1920;1920
Enseignement Recherche;Enseignement secondaire;Cantine LP;124;<5000m2;enseignement;620;1713,4589803726;1240;1679,8617454633;3000;3000;400;1108,7087520058;780;1075,1115170965;1920;1920
Enseignement Recherche;Enseignement secondaire;Collège;6222;5000<S<10000;enseignement;413,3333333333;161,2606077334;826,6666666667;158,0986350328;2000;2000;266,6666666667;104,3450991216;520;101,183126421;1280;1280
Enseignement Recherche;Enseignement secondaire;Internat college;129;<5000m2;enseignement;620;1679,924250784;1240;1646,9845595921;3000;3000;400;1087,0098093308;780;1054,070118139;1920;1920
Enseignement Recherche;Enseignement secondaire;Internat LEGT;299;<5000m2;enseignement;620;1103,4406027873;1240;1081,8045125366;3000;3000;400;713,9909782741;780;692,3548880234;1920;1920
Enseignement Recherche;Enseignement secondaire;Internat LP;259;<5000m2;enseignement;620;1185,5903959094;1240;1162,3435254014;3000;3000;400;767,1467267649;780;743,8998562569;1920;1920
Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);10257;5000<S<10000;enseignement;413,3333333333;125,5981139351;826,6666666667;123,1354058187;2000;2000;266,6666666667;81,2693678403;520;78,806659724;1280;1280
Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);6850;5000<S<10000;enseignement;413,3333333333;153,6908490454;826,6666666667;150,6773029857;2000;2000;266,6666666667;99,4470199705;520;96,4334739108;1280;1280
Enseignement Recherche;Enseignement supérieur et recherche;école;2927;<5000m2;enseignement;620;352,6737968287;1240;345,7586243419;3000;3000;400;228,2006920657;780;221,2855195788;1920;1920
Enseignement Recherche;Enseignement supérieur et recherche;R&D en sciences humaines et sociales;785;<5000m2;enseignement;620;1135,0068323821;1240;1112,7517964531;3000;3000;400;734,416185659;780;712,16114973;1920;1920
Enseignement Recherche;Enseignement supérieur et recherche;R&D sciences physiques et naturelles;717;<5000m2;enseignement;620;1187,6096734204;1240;1164,3232092357;3000;3000;400;768,4533180955;780;745,1668539108;1920;1920
Enseignement Recherche;Enseignement supérieur et recherche;université;14727;5000<S<10000;enseignement;413,3333333333;104,8180683841;826,6666666667;102,7628121412;2000;2000;266,6666666667;67,8234560132;520;65,7681997704;1280;1280
Habitat Communautaire;Foyer;Foyers;774;<5000m2;enseignement;620;685,8262034913;1240;672,3786308739;3000;3000;400;443,7698963768;780;430,3223237593;1920;1920
Habitat Communautaire;Maison de pré-retraite;Maison de pré-retraite;836;<5000m2;Santé avec hébergement;1136,6666666667;1209,8258247846;2273,3333333333;1186,1037497889;5500;5500;733,3333333333;782,8284748606;1430;759,1063998649;3520;3520
Habitat Communautaire;Maison retraite médicalisée;Maison retraite médicalisée;1119;<5000m2;Santé avec hébergement;568,3333333333;1478,8561915848;1136,6666666667;1449,8590113577;5500;5500;366,6666666667;956,9069474961;715;927,9097672689;3520;3520
Habitat Communautaire;Résidence universitaire;Résidence universitaire;1098;<5000m2;enseignement;310;814,3261520836;620;798,3589726309;3000;3000;200;526,9169219364;390;510,9497424838;1920;1920
Habitat Communautaire;Service à la personne;Résidentiel;483;<5000m2;Santé sans hébergement;1136,6666666667;1591,6677764405;2273,3333333333;1560,4586043534;5500;5500;733,3333333333;1029,9026788733;1430;998,6935067862;3520;3520
Santé Action Sociale;Cabinet médical;Cabinet médical;136;<5000m2;Santé sans hébergement;568,3333333333;4242,0084865545;1136,6666666667;4158,8318495632;5500;5500;366,6666666667;2744,8290207117;715;2661,6523837205;3520;3520
Santé Action Sociale;Centre accueil;Centre accueil;932;<5000m2;Santé avec hébergement;568,3333333333;1620,4402835175;1136,6666666667;1588,666944625;5500;5500;366,6666666667;1048,5201834525;715;1016,74684456;3520;3520
Santé Action Sociale;Garderie;Garderie;890;<5000m2;Santé sans hébergement;1136,6666666667;1172,5489606701;2273,3333333333;1149,5578045785;5500;5500;733,3333333333;758,7081510218;1430;735,7169949303;3520;3520
Santé Action Sociale;Hôpital;Hopital bloc;9143;5000<S<10000;Santé sans hébergement;232,5;598,6340965745;465;586,8961731122;4500;4500;150;387,3514742541;292,5;375,6135507918;2880;2880
Santé Action Sociale;Hôpital;Hopital maison;5138;5000<S<10000;Santé sans hébergement;465;564,6687603144;930;553,5968238377;4500;4500;300;365,3739037329;585;354,3019672561;2880;2880
Santé Action Sociale;Hôpital;Hopital pavillonnaire;7949;5000<S<10000;Santé sans hébergement;465;453,977744695;930;445,0762202892;4500;4500;300;293,7503053909;585;284,8487809851;2880;2880
Sport Loisir Culture;Culture;Grand cinéma;5198;5000<S<10000;Locaux sportifs;206,6666666667;124,7556318563;413,3333333333;122,3094429964;2000;2000;133,3333333333;80,7242323776;260;78,2780435177;1280;1280
Sport Loisir Culture;Culture;Grande salle de spectacle;18189;5000<S<10000;Locaux sportifs;413,3333333333;47,1583811681;826,6666666667;46,2337070276;2000;2000;266,6666666667;30,5142466382;520;29,5895724977;1280;1280
Sport Loisir Culture;Culture;Immeuble péri urbain;142;<5000m2;Locaux sportifs;516,6666666667;2223,8622664818;1033,3333333333;2180,2571240018;2500;2500;333,3333333333;1438,9697018412;650;1395,3645593612;1600;1600
Sport Loisir Culture;Culture;Musée;3249;<5000m2;Locaux sportifs;258,3333333333;131,4989230336;516,6666666667;128,9205127781;2500;2500;166,6666666667;85,0875384335;325;82,509128178;1600;1600
Sport Loisir Culture;Culture;nr;500;<5000m2;Locaux sportifs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Sport Loisir Culture;Culture;Petit cinéma;560;<5000m2;Locaux sportifs;516,6666666667;671,9072002251;1033,3333333333;658,7325492403;2500;2500;333,3333333333;434,7634824986;650;421,5888315138;1600;1600
Sport Loisir Culture;Culture;Petite salle de spectacle;749;<5000m2;Locaux sportifs;516,6666666667;96,8302714476;1033,3333333333;94,9316386742;2500;2500;333,3333333333;62,6548815249;650;60,7562487515;1600;1600
Sport Loisir Culture;Equipement collectif;Immeuble péri urbain;142;<5000m2;Locaux sportifs;516,6666666667;2223,8622664818;1033,3333333333;2180,2571240018;2500;2500;333,3333333333;1438,9697018412;650;1395,3645593612;1600;1600
Sport Loisir Culture;Loisir;Grand bar café tabac;490;<5000m2;Locaux sportifs;516,6666666667;718,2990111282;1033,3333333333;704,2147167924;2500;2500;333,3333333333;464,781713083;650;450,6974187471;1600;1600
Sport Loisir Culture;Loisir;nr;500;<5000m2;Locaux sportifs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Sport Loisir Culture;Loisir;Salle non spécialisée;343;<5000m2;Locaux sportifs;516,6666666667;143,0885880262;1033,3333333333;140,2829294374;2500;2500;333,3333333333;92,5867334287;650;89,78107484;1600;1600
Sport Loisir Culture;Loisir;Vestiaire et rangement;140;<5000m2;Locaux sportifs;516,6666666667;1343,8144004501;1033,3333333333;1317,4650984805;2500;2500;333,3333333333;869,5269649971;650;843,1776630275;1600;1600
Sport Loisir Culture;Sport;Grand bar café tabac;490;<5000m2;Locaux sportifs;516,6666666667;718,2990111282;1033,3333333333;704,2147167924;2500;2500;333,3333333333;464,781713083;650;450,6974187471;1600;1600
Sport Loisir Culture;Sport;Grande salle multisport;1840;<5000m2;Locaux sportifs;516,6666666667;37,0675939567;1033,3333333333;36,3407783889;2500;2500;333,3333333333;23,9849137367;650;23,2580981689;1600;1600
Sport Loisir Culture;Sport;nr;500;<5000m2;Locaux sportifs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Sport Loisir Culture;Sport;Patinoire;1869;<5000m2;Locaux sportifs;516,6666666667;183,8944669093;1033,3333333333;180,2886930484;2500;2500;333,3333333333;118,9905374119;650;115,384763551;1600;1600
Sport Loisir Culture;Sport;Petite salle multisport;430;<5000m2;Locaux sportifs;516,6666666667;127,7961676464;1033,3333333333;125,2903604377;2500;2500;333,3333333333;82,6916378889;650;80,1858306801;1600;1600
Sport Loisir Culture;Sport;Piscine;476;<5000m2;Locaux sportifs;516,6666666667;364,3928413912;1033,3333333333;357,2478837169;2500;2500;333,3333333333;235,7836032531;650;228,6386455788;1600;1600
Sport Loisir Culture;Sport;Salle non spécialisée;343;<5000m2;Locaux sportifs;516,6666666667;143,0885880262;1033,3333333333;140,2829294374;2500;2500;333,3333333333;92,5867334287;650;89,78107484;1600;1600
Sport Loisir Culture;Sport;Vestiaire et rangement;140;<5000m2;Locaux sportifs;516,6666666667;1343,8144004501;1033,3333333333;1317,4650984805;2500;2500;333,3333333333;869,5269649971;650;843,1776630275;1600;1600
Transport;Service;nr;1000;<5000m2;autres secteurs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Transport;Transport aérien;nr;1000;<5000m2;autres secteurs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Transport;Transport autre;nr;1000;<5000m2;autres secteurs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Transport;Transport ferroviaire;nr;1000;<5000m2;autres secteurs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Transport;Transport maritime et fluvial;nr;1000;<5000m2;autres secteurs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Transport;Transport routier;nr;1000;<5000m2;autres secteurs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
Transport;Transport urbain;nr;1000;<5000m2;autres secteurs;516,6666666667;711,0797423637;1033,3333333333;697,1370023173;2500;2500;333,3333333333;460,1104215294;650;446,1676814831;1600;1600
