"BRANCHE";"BAT_TYPE";"PRODUCTION_CHAUD";"ENERGIE";"CINT";"COUT_VARIABLE"
Enseignement Recherche;Internat college;Chaudière condensation gaz;Gaz;7.182873;4.596337
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Electrique direct performant;Electricité;2.444339;8.470691
Café Hôtel Restaurant;Petit bar café tabac;PAC;Electricité;8.47886;16.89785
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Autre système centralisé performant;Autres;10.42818;7.43969
Café Hôtel Restaurant;Petit restaurant traditionnel;Chaudière gaz;Gaz;5;20.63464
Commerce;Petit commerce de gros;Chaudière condensation gaz;Gaz;7.349276;4.671304
Enseignement Recherche;Préélémentaire;Chaudière fioul;Fioul;-0.56217;11.35305
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Electrique direct;Electricité;-1.87853;15.47027
Commerce;Supermarché;Chaudière condensation gaz;Gaz;7.680512;5.427308
Bureaux Administration;plateau mince;Autre système centralisé;Urbain;-0.28247;12.88024
Habitat Communautaire;Maison retraite médicalisée;Chaudière condensation gaz;Gaz;6.944263;4.238117
Bureaux Administration;plateau large bureau paysagés;Electrique direct performant;Electricité;1.740401;9.147659
Commerce;Grand brico;Rooftop;Electricité;3.3936;11.26994
Sport Loisir Culture;Piscine;Tube radiant;Gaz;5.407765;3.916188
Santé Action Sociale;Hopital pavillonnaire;Autre système centralisé performant;Autres;10.17896;12.67826
Enseignement Recherche;Préélémentaire;Autre système centralisé;Urbain;3.724523;9.718867
Habitat Communautaire;Foyers;Autre système centralisé performant;Autres;13.94861;5.849644
Commerce;Grand process;Electrique direct;Electricité;-1.29482;12.35022
Commerce;Grand alimentaire;Chaudière fioul;Fioul;1.40934;10.49868
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Electrique direct;Electricité;0.236916;9.773134
Café Hôtel Restaurant;Grande cantine;Chaudière gaz;Gaz;4.999998;7.187442
Commerce;Superette;Chaudière gaz;Gaz;4.999997;7.242583
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Chaudière condensation gaz;Gaz;9.262244;7.829286
