"BRANCHE";"BAT_TYPE";"PRODUCTION_CHAUD";"ENERGIE";"CINT";"COUT_VARIABLE"
Commerce;Grand librairie;Chaudière fioul;Fioul;0.961372;9.357558
Commerce;Petit boulangerie;Chaudière condensation gaz;Gaz;8.088545;9.842035
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Urbain;4.44861;10.2002
Enseignement Recherche;Cantine collége;Chaudière condensation gaz;Gaz;9.22311;13.98395
Enseignement Recherche;R&D sciences physiques et naturelles;Autre système centralisé;Autres;6.442749;7.628501
Sport Loisir Culture;Salle non spécialisée;PAC;Electricité;1.54513;13.7862
Commerce;Petit commerce de gros;Autre système centralisé performant;Urbain;7.24444;8.44305
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Electrique direct performant;Electricité;1.6397;10.71046
Commerce;Hypermarché;Autre système centralisé performant;Autres;10.76835;9.211023
Sport Loisir Culture;Grande salle multisport;Cassette rayonnante performant;Electricité;4.911541;5.748729
Enseignement Recherche;Elémentaire;Electrique direct performant;Electricité;3.97533;10.64361
Commerce;Grand Mode;PAC performant;Electricité;-3.64641;17.87596
Café Hôtel Restaurant;Grande cantine;Rooftop performant;Electricité;8.15198;12.16183
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;PAC performant;Electricité;-1.33827;18.43113
Enseignement Recherche;université;Chaudière gaz;Gaz;5;3.844354
Habitat Communautaire;Foyers;PAC performant;Electricité;3.15442;12.47484
Commerce;Petit mode;Autre système centralisé performant;Autres;14.26448;8.804251
Commerce;Grand process;PAC;Electricité;-4.17525;17.12566
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Autre système centralisé performant;Autres;13.29264;17.7219
Enseignement Recherche;R&D en sciences humaines et sociales;Autre système centralisé performant;Autres;9.404797;7.709163
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Chaudière gaz;Gaz;5;13.23144
Enseignement Recherche;Collège;PAC;Electricité;0.84497;11.23787
Enseignement Recherche;Préélémentaire;Electrique direct;Electricité;1.68489;11.11644
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Chaudière condensation fioul;Fioul;1.11035;22.62872
Sport Loisir Culture;Grand bar café tabac;Rooftop;Electricité;9.29109;5.45436
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Autre système centralisé;Urbain;2.03881;16.39731
Commerce;ZAC Mode;Chaudière condensation gaz;Gaz;7.696111;6.150449
Café Hôtel Restaurant;Grand bar café tabac;Chaudière condensation gaz;Gaz;8.11863;5.70419
Santé Action Sociale;Garderie;Electrique direct;Electricité;-0.42688;11.0853
Enseignement Recherche;Cantine LP;Chaudière condensation fioul;Fioul;-2.90465;29.79969
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Electrique direct performant;Electricité;0.66165;13.60368
Café Hôtel Restaurant;Grand restaurant rapide;Chaudière fioul;Fioul;-4.80173;23.65716
Sport Loisir Culture;Grande salle de spectacle;Rooftop performant;Electricité;8.856792;2.066738
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Rooftop performant;Electricité;6.425117;7.518093
Sport Loisir Culture;Grande salle multisport;Rooftop;Electricité;8.808923;1.691807
Commerce;Grand alimentaire;Electrique direct;Electricité;0.6027;10.88319
Santé Action Sociale;Centre accueil;Autre système centralisé;Autres;8.625994;8.188756
Bureaux Administration;immeuble résidentiel;Electrique direct performant;Electricité;2.53564;18.16872
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;PAC performant;Electricité;-0.76633;14.70954
Café Hôtel Restaurant;Petit restaurant traditionnel;Autre système centralisé;Urbain;2.82475;23.19844
Santé Action Sociale;Cabinet médical;Chaudière fioul;Fioul;1.286324;8.275003
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Autre système centralisé performant;Urbain;8.63729;18.79849
Sport Loisir Culture;Petite salle de spectacle;Autre système centralisé;Urbain;2.09041;14.47369
Commerce;Petit poissonnerie;Chaudière condensation fioul;Fioul;1.10921;17.27486
Café Hôtel Restaurant;Petit bar café tabac;Autre système centralisé;Autres;12.22009;14.78457
Sport Loisir Culture;Musée;Electrique direct performant;Electricité;0.73716;11.89392
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Autre système centralisé;Urbain;-0.15641;12.3989
Habitat Communautaire;Maison de pré-retraite;Autre système centralisé performant;Autres;14.23626;5.706759
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière condensation fioul;Fioul;3.69447;8.51573
Sport Loisir Culture;Grand cinéma;Electrique direct;Electricité;1.291282;8.869468
Enseignement Recherche;Internat LEGT;Autre système centralisé;Autres;4.473514;9.437046
Commerce;Superette;Autre système centralisé;Urbain;4.718731;9.593399
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;PAC;Electricité;-2.63431;15.57634
Habitat Communautaire;Maison retraite médicalisée;Autre système centralisé performant;Urbain;9.678322;5.561948
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Chaudière fioul;Fioul;-4.2626;22.9096
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;PAC;Electricité;0.91269;11.87446
Santé Action Sociale;Centre accueil;Chaudière condensation fioul;Fioul;3.197235;9.557775
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Urbain;5.51049;16.69347
Café Hôtel Restaurant;Petit restaurant rapide;Autre système centralisé performant;Autres;27.28024;21.62075
Café Hôtel Restaurant;Grand restaurant traditionnel;Chaudière fioul;Fioul;-1.2189;15.44164
Commerce;Petit brico;Chaudière gaz;Gaz;4.999998;8.259722
Commerce;Petit poissonnerie;Autre système centralisé;Autres;8.34406;11.54839
Enseignement Recherche;R&D sciences physiques et naturelles;Chaudière condensation fioul;Fioul;6.025161;9.163829
Enseignement Recherche;Cantine préélémentaire;Chaudière fioul;Fioul;-12.97909;32.24337
Sport Loisir Culture;Immeuble péri urbain;Electrique direct performant;Electricité;-0.65231;14.03543
Café Hôtel Restaurant;Petite cantine;PAC performant;Electricité;30.24013;13.36006
Commerce;Petit librairie;Chaudière gaz;Gaz;4.999998;8.142392
Sport Loisir Culture;Petite salle multisport;PAC performant;Electricité;11.79236;14.04257
Enseignement Recherche;Internat LP;Chaudière fioul;Fioul;1.00808;11.05481
Café Hôtel Restaurant;Petit restaurant traditionnel;Chaudière condensation fioul;Fioul;3.60651;27.50182
Sport Loisir Culture;Patinoire;Tube radiant performant;Gaz;6.899981;3.559709
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé;Autres;7.129744;7.958066
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);PAC;Electricité;1.34076;11.52442
Sport Loisir Culture;Petite salle multisport;Chaudière fioul;Fioul;-2.64296;20.65945
Santé Action Sociale;Hopital bloc;Chaudière fioul;Fioul;-1.75673;12.38352
Commerce;Petit boulangerie;Electrique direct performant;Electricité;2.19124;14.95203
Enseignement Recherche;école;Chaudière condensation gaz;Gaz;7.237408;4.333952
Commerce;Grand commerce de gros;Rooftop performant;Electricité;4.37137;9.51619
Sport Loisir Culture;Piscine;PAC performant;Electricité;8.268876;7.069014
Sport Loisir Culture;Piscine;Rooftop performant;Electricité;12.41322;2.924673
Enseignement Recherche;Cantine élémentaire;Electrique direct performant;Electricité;-2.22459;26.93044
Commerce;Petit poissonnerie;Autre système centralisé;Urbain;4.94909;12.54877
Commerce;Petit brico;Electrique direct performant;Electricité;4.95391;10.56512
Commerce;Grand alimentaire;Autre système centralisé performant;Autres;11.57309;7.474747
Bureaux Administration;plateau large bureau paysagés;PAC performant;Electricité;1.51998;11.2344
Café Hôtel Restaurant;Petit bar café tabac;Chaudière condensation fioul;Fioul;5.72883;19.96619
Café Hôtel Restaurant;Petit bar café tabac;Autre système centralisé;Urbain;4.71206;18.00073
Commerce;Complexe brico;Autre système centralisé;Urbain;5.650555;6.068595
Sport Loisir Culture;Petite salle multisport;Rooftop performant;Electricité;18.85374;6.981186
Habitat Communautaire;Maison retraite médicalisée;Autre système centralisé;Autres;9.782831;5.040819
Enseignement Recherche;université;Electrique direct;Electricité;1.097764;9.512816
Sport Loisir Culture;Grande salle multisport;PAC;Electricité;7.080949;3.419781
Commerce;Petit commerce de gros;Autre système centralisé;Autres;7.998687;7.183163
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Chaudière fioul;Fioul;1.249332;9.176618
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Chaudière condensation gaz;Gaz;8.844359;6.974581
Commerce;Grand librairie;Autre système centralisé;Urbain;5.946531;7.343759
Bureaux Administration;immeuble peri urbain;DRV;Electricité;4.81899;10.98857
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Autre système centralisé;Autres;9.69642;14.45714
Enseignement Recherche;Internat college;Chaudière condensation fioul;Fioul;2.61309;10.15919
Commerce;Petit commerce de gros;Chaudière condensation fioul;Fioul;3.716706;9.298694
Enseignement Recherche;Préélémentaire;Chaudière gaz;Gaz;5;4.908181
Habitat Communautaire;Résidentiel;Chaudière condensation gaz;Gaz;7.154951;8.794459
Commerce;Grand brico;Chaudière fioul;Fioul;-1.04331;14.0054
Café Hôtel Restaurant;Petit restaurant traditionnel;Autre système centralisé;Autres;18.63396;20.25698
Commerce;Supermarché;Autre système centralisé;Urbain;6.239626;9.054994
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Chaudière condensation gaz;Gaz;7.502861;4.161119
Santé Action Sociale;Hopital maison;PAC;Electricité;2.29441;10.60165
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Rooftop performant;Electricité;7.694141;7.512429
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Chaudière fioul;Fioul;-0.29152;12.04994
Santé Action Sociale;Garderie;Chaudière gaz;Gaz;5;4.160728
Habitat Communautaire;Maison retraite médicalisée;Chaudière condensation fioul;Fioul;2.638224;9.077306
Sport Loisir Culture;Vestiaire et rangement;Tube radiant performant;Gaz;17.87675;6.198026
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Rooftop;Electricité;5.61735;11.74517
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Chaudière condensation gaz;Gaz;8.706063;6.302907
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Rooftop performant;Electricité;5.8119;14.72302
Santé Action Sociale;Centre accueil;Autre système centralisé;Urbain;1.97124;10.40632
Bureaux Administration;plateau large bureaux cloisonnés;PAC performant;Electricité;1.54344;12.687
Commerce;Superette;Chaudière fioul;Fioul;1.16609;13.42532
Bureaux Administration;immeuble rénové;Chaudière condensation gaz;Gaz;8.163719;5.347641
Commerce;Petit process;PAC performant;Electricité;-0.57442;20.35787
Commerce;Grand alimentaire;Chaudière gaz;Gaz;4.999998;5.629622
Santé Action Sociale;Hopital pavillonnaire;Chaudière condensation gaz;Gaz;7.31172;6.60427
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Chaudière condensation fioul;Fioul;3.73973;15.77307
Sport Loisir Culture;Patinoire;Autre système centralisé performant;Autres;4.647745;7.924565
Enseignement Recherche;Internat college;Autre système centralisé performant;Urbain;2.396034;9.587156
Bureaux Administration;immeuble résidentiel;Chaudière condensation gaz;Gaz;9.27376;11.57996
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Autre système centralisé;Autres;7.12811;17.23833
Commerce;Grand brico;Autre système centralisé;Urbain;7.822261;9.509149
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Chaudière fioul;Fioul;1.374225;8.596003
Commerce;Supermarché;Chaudière fioul;Fioul;1.08011;11.46502
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Autre système centralisé;Autres;7.85866;12.85719
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;PAC;Electricité;-1.89199;19.25451
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Rooftop performant;Electricité;6.11632;9.27443
Sport Loisir Culture;Musée;Chaudière condensation gaz;Gaz;8.001502;5.109428
Enseignement Recherche;Internat college;Autre système centralisé;Autres;3.914817;8.366173
Enseignement Recherche;Cantine préélémentaire;Autre système centralisé;Urbain;-5.55798;24.99046
Sport Loisir Culture;Petite salle multisport;Autre système centralisé;Urbain;6.05565;15.60519
Café Hôtel Restaurant;Grand restaurant rapide;Autre système centralisé;Urbain;-1.37017;23.01463
Sport Loisir Culture;Petit cinéma;Cassette rayonnante performant;Electricité;2.02599;17.44722
Sport Loisir Culture;Grand cinéma;Chaudière gaz;Gaz;5;4.521065
Café Hôtel Restaurant;Grande cantine;PAC;Electricité;-1.47277;18.55458
Sport Loisir Culture;Vestiaire et rangement;Autre système centralisé performant;Autres;10.79016;19.08992
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Chaudière condensation fioul;Fioul;2.9108;17.80587
Commerce;Petit librairie;Autre système centralisé performant;Autres;14.40613;8.805042
Commerce;Entrepôt;Rooftop performant;Electricité;6.409216;7.194794
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;PAC performant;Electricité;-5.13119;25.66611
Enseignement Recherche;Cantine LEGT;Autre système centralisé performant;Autres;11.98714;22.10468
Santé Action Sociale;Cabinet médical;Autre système centralisé;Urbain;1.731519;8.006677
Sport Loisir Culture;Grande salle de spectacle;PAC;Electricité;3.045871;6.139687
Enseignement Recherche;R&D sciences physiques et naturelles;Autre système centralisé;Urbain;1.937688;8.934462
Sport Loisir Culture;Petite salle de spectacle;Chaudière fioul;Fioul;-4.57808;18.62439
Sport Loisir Culture;Immeuble péri urbain;Chaudière condensation gaz;Gaz;8.319863;5.761157
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Chaudière fioul;Fioul;-0.74895;12.41808
Sport Loisir Culture;Musée;Cassette rayonnante;Electricité;-2.76029;13.38172
Bureaux Administration;plateau large bureau paysagés;Autre système centralisé;Urbain;1.58262;9.15209
Enseignement Recherche;R&D en sciences humaines et sociales;Electrique direct;Electricité;0.48261;10.89909
Commerce;Petit commerce de gros;Autre système centralisé;Urbain;5.24803;7.94353
Enseignement Recherche;université;Chaudière condensation gaz;Gaz;7.167806;3.349964
Enseignement Recherche;Préélémentaire;Electrique direct performant;Electricité;4.50956;10.71387
Commerce;Grand librairie;PAC performant;Electricité;-3.88472;17.84728
Enseignement Recherche;Cantine LP;Autre système centralisé;Urbain;-5.85531;26.5718
Bureaux Administration;immeuble rénové;PAC;Electricité;1.40548;11.97391
Bureaux Administration;immeuble peri urbain;Chaudière fioul;Fioul;-4.05147;19.58198
Habitat Communautaire;Maison retraite médicalisée;Autre système centralisé;Urbain;7.298548;5.516942
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Autre système centralisé;Urbain;1.14085;12.79766
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Autre système centralisé;Urbain;1.38376;17.28747
Enseignement Recherche;Cantine LEGT;Chaudière gaz;Gaz;5;15.03194
Enseignement Recherche;Cantine élémentaire;Chaudière condensation gaz;Gaz;8.62229;13.32928
Commerce;Complexe brico;Chaudière condensation fioul;Fioul;4.180553;6.675997
Habitat Communautaire;Maison de pré-retraite;Autre système centralisé performant;Urbain;9.856404;6.131186
Sport Loisir Culture;Immeuble péri urbain;Electrique direct;Electricité;-3.47302;14.72683
Commerce;ZAC Mode;Chaudière gaz;Gaz;5.000005;6.643515
Commerce;Complexe brico;Rooftop performant;Electricité;4.702504;7.484736
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Autre système centralisé;Urbain;-4.76571;25.37622
Commerce;Hypermarché;Electrique direct;Electricité;-2.12641;13.51457
Sport Loisir Culture;Grande salle de spectacle;Rooftop;Electricité;7.014169;2.171389
Commerce;Petit mode;Electrique direct;Electricité;1.99218;10.74692
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Rooftop performant;Electricité;8.19419;12.45345
Santé Action Sociale;Centre accueil;Chaudière fioul;Fioul;-0.09634;10.82199
Transport;nr;nr;Urbain;1.46669;14.27169
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Autre système centralisé performant;Autres;12.36834;19.62761
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;PAC;Electricité;-1.66292;18.02544
Sport Loisir Culture;Piscine;Cassette rayonnante performant;Electricité;5.399681;7.693849
Habitat Communautaire;Résidentiel;Electrique direct performant;Electricité;7.49128;10.74323
Sport Loisir Culture;Salle non spécialisée;PAC performant;Electricité;2.77912;15.453
Commerce;Complexe brico;Autre système centralisé;Autres;7.411651;5.518649
Bureaux Administration;plateau mince;Electrique direct performant;Electricité;0.59165;12.2293
Sport Loisir Culture;Petite salle de spectacle;Autre système centralisé performant;Urbain;4.15174;15.5464
Café Hôtel Restaurant;Grand restaurant traditionnel;Chaudière condensation fioul;Fioul;3.41177;13.50202
Café Hôtel Restaurant;Grand restaurant rapide;Autre système centralisé;Autres;10.67082;18.49917
Enseignement Recherche;Cantine préélémentaire;PAC performant;Electricité;-3.6121;35.28042
Sport Loisir Culture;Patinoire;Chaudière gaz;Gaz;5;3.795515
Bureaux Administration;immeuble résidentiel;Electrique direct;Electricité;-1.80931;19.21953
Café Hôtel Restaurant;Petit bar café tabac;Autre système centralisé performant;Urbain;9.34694;17.66327
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Electrique direct;Electricité;-2.86077;20.11173
Habitat Communautaire;Résidence universitaire;Electrique direct performant;Electricité;2.338182;9.940748
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;PAC performant;Electricité;1.84839;13.35818
Transport;nr;nr;Fioul;0.87209;12.41954
Enseignement Recherche;Cantine LP;Autre système centralisé performant;Autres;8.14764;22.00213
Commerce;Grand alimentaire;Autre système centralisé performant;Urbain;9.323034;8.021906
Café Hôtel Restaurant;Petit restaurant rapide;Autre système centralisé;Autres;20.92089;20.19978
Commerce;Grand process;Chaudière condensation gaz;Gaz;7.641635;5.788085
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;PAC performant;Electricité;-3.64906;27.22183
Sport Loisir Culture;Grande salle multisport;Rooftop performant;Electricité;10.88791;1.599639
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;PAC performant;Electricité;-0.27658;20.22202
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Rooftop;Electricité;5.52094;10.84158
Sport Loisir Culture;Grand bar café tabac;Rooftop performant;Electricité;12.23174;5.303659
Santé Action Sociale;Garderie;Electrique direct performant;Electricité;1.98984;10.68523
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Autres;8.85639;19.46308
Commerce;Petit poissonnerie;Autre système centralisé performant;Autres;11.07056;12.58568
Santé Action Sociale;Cabinet médical;Autre système centralisé;Autres;7.119671;6.201499
Bureaux Administration;plateau large bureau paysagés;Chaudière fioul;Fioul;1.425961;8.752009
Enseignement Recherche;Internat LP;Autre système centralisé;Urbain;0.44789;10.59822
Café Hôtel Restaurant;Petite cantine;Rooftop performant;Electricité;9.7589;33.84129
Sport Loisir Culture;Vestiaire et rangement;Autre système centralisé;Urbain;4.95211;18.50854
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Electrique direct;Electricité;-2.26186;14.25753
Enseignement Recherche;Lycée professionnel (LP);PAC;Electricité;0.96326;11.69142
Café Hôtel Restaurant;Grand restaurant rapide;Chaudière condensation fioul;Fioul;2.10651;20.3165
Café Hôtel Restaurant;Grand bar café tabac;Rooftop;Electricité;7.506656;9.120604
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Rooftop performant;Electricité;8.41046;11.53498
Santé Action Sociale;Hopital pavillonnaire;PAC;Electricité;1.4806;14.59424
Santé Action Sociale;Hopital bloc;Autre système centralisé;Urbain;1.94357;11.03098
Transport;nr;nr;Gaz;4.999996;7.423194
Commerce;Petit process;Autre système centralisé;Urbain;7.99929;10.24256
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Chaudière fioul;Fioul;-2.18703;14.41232
Café Hôtel Restaurant;Petit restaurant rapide;Chaudière condensation fioul;Fioul;5.0452;27.44954
Santé Action Sociale;Cabinet médical;Chaudière condensation fioul;Fioul;4.107994;7.262406
Sport Loisir Culture;Grande salle multisport;PAC performant;Electricité;8.783501;3.704049
Habitat Communautaire;Foyers;PAC;Electricité;1.77318;11.36941
Sport Loisir Culture;Grande salle de spectacle;Cassette rayonnante performant;Electricité;2.792437;6.532675
Commerce;Complexe brico;Autre système centralisé performant;Urbain;7.418936;6.517554
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Chaudière gaz;Gaz;5;5.71076
Enseignement Recherche;R&D sciences physiques et naturelles;Autre système centralisé performant;Autres;9.222893;7.510737
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Autre système centralisé performant;Urbain;2.39847;12.16038
Enseignement Recherche;Elémentaire;Chaudière gaz;Gaz;5;4.868961
Commerce;Grand Mode;PAC;Electricité;-3.46408;15.42966
Café Hôtel Restaurant;Grand restaurant traditionnel;Autre système centralisé;Autres;8.93443;12.39617
Habitat Communautaire;Maison de pré-retraite;Chaudière condensation fioul;Fioul;2.92914;10.61128
Enseignement Recherche;R&D en sciences humaines et sociales;Chaudière gaz;Gaz;5.000002;5.097478
Enseignement Recherche;Préélémentaire;Chaudière condensation gaz;Gaz;6.858165;4.924715
Enseignement Recherche;université;Electrique direct performant;Electricité;3.37964;9.23854
Enseignement Recherche;Internat LP;Autre système centralisé;Autres;5.079158;8.839812
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière fioul;Fioul;0.1753;10.09221
Sport Loisir Culture;Piscine;PAC;Electricité;6.472013;6.425567
Enseignement Recherche;Lycée professionnel (LP);PAC performant;Electricité;1.91761;13.13142
Commerce;Petit librairie;Autre système centralisé performant;Urbain;9.9274;9.38759
Santé Action Sociale;Hopital bloc;Autre système centralisé;Autres;6.621336;8.829104
Sport Loisir Culture;Vestiaire et rangement;Autre système centralisé;Autres;8.16933;16.95672
Commerce;Grand brico;Chaudière condensation fioul;Fioul;1.64538;13.76923
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Chaudière condensation gaz;Gaz;8.07007;4.66724
Enseignement Recherche;Cantine LEGT;Electrique direct;Electricité;-7.60217;32.77434
Sport Loisir Culture;Petit cinéma;Chaudière fioul;Fioul;-3.24707;18.73643
Habitat Communautaire;Résidentiel;Chaudière gaz;Gaz;4.999998;8.411802
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;PAC performant;Electricité;2.08133;12.4321
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Rooftop performant;Electricité;7.678403;6.835027
Enseignement Recherche;Internat LP;Chaudière condensation fioul;Fioul;3.4299;10.91538
Habitat Communautaire;Maison de pré-retraite;Autre système centralisé;Autres;11.24846;5.521545
Café Hôtel Restaurant;Grand restaurant traditionnel;Autre système centralisé;Urbain;1.94849;14.99949
Sport Loisir Culture;Petite salle de spectacle;Chaudière condensation fioul;Fioul;-1.67291;18.37689
Enseignement Recherche;R&D sciences physiques et naturelles;Autre système centralisé performant;Urbain;4.24145;8.68779
Santé Action Sociale;Hopital maison;PAC performant;Electricité;3.66981;11.66628
Enseignement Recherche;Elémentaire;Chaudière condensation gaz;Gaz;6.850536;4.885704
Sport Loisir Culture;Immeuble péri urbain;Chaudière gaz;Gaz;4.999998;6.840682
Commerce;Supermarché;Chaudière condensation fioul;Fioul;3.89534;11.02342
Habitat Communautaire;Maison retraite médicalisée;Chaudière fioul;Fioul;-0.138612;9.990159
Commerce;Petit poissonnerie;Autre système centralisé performant;Urbain;7.38193;13.42665
Commerce;Petit commerce de gros;Chaudière fioul;Fioul;1.349147;9.595463
Commerce;Hypermarché;Chaudière gaz;Gaz;5.000002;5.914088
Commerce;Petit mode;Chaudière gaz;Gaz;4.999996;8.052274
Café Hôtel Restaurant;Petite cantine;PAC;Electricité;24.35315;12.31009
Enseignement Recherche;Internat LEGT;PAC performant;Electricité;2.74282;14.42354
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);PAC performant;Electricité;2.37737;12.92199
Bureaux Administration;immeuble peri urbain;Autre système centralisé;Urbain;-0.79068;17.80687
Commerce;Grand commerce de gros;Rooftop;Electricité;2.862325;8.815675
Enseignement Recherche;Cantine LP;Autre système centralisé;Autres;2.74663;22.6062
Commerce;Grand alimentaire;Chaudière condensation fioul;Fioul;3.91833;10.24277
Enseignement Recherche;Cantine collége;PAC;Electricité;-6.26596;30.92787
Bureaux Administration;immeuble peri urbain;DRV performant;Electricité;8.19964;10.59882
Enseignement Recherche;Internat college;Autre système centralisé;Urbain;-0.11428;10.1909
Café Hôtel Restaurant;Petit restaurant traditionnel;Chaudière fioul;Fioul;-2.04958;28.20846
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Chaudière fioul;Fioul;-2.4162;18.82444
Bureaux Administration;plateau mince;Chaudière condensation gaz;Gaz;7.943793;4.395567
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Luxe;Chaudière condensation gaz;Gaz;7.447876;4.045764
Commerce;ZAC Mode;Electrique direct performant;Electricité;1.88255;12.15163
Café Hôtel Restaurant;Petit bar café tabac;Autre système centralisé performant;Autres;17.23881;14.87533
Enseignement Recherche;Collège;Chaudière condensation gaz;Gaz;6.716744;3.472296
Café Hôtel Restaurant;Grand bar café tabac;PAC;Electricité;2.18815;14.43911
Sport Loisir Culture;Vestiaire et rangement;Tube radiant;Gaz;13.5031;6.7413
Commerce;Grand brico;Autre système centralisé;Autres;10.37779;8.418326
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Rooftop;Electricité;4.352253;8.589777
Café Hôtel Restaurant;Grand restaurant rapide;Autre système centralisé performant;Urbain;3.05535;22.6844
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Autre système centralisé;Urbain;0.65722;14.88396
Commerce;Petit process;Chaudière fioul;Fioul;-0.17067;14.96169
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;PAC;Electricité;0.12124;11.41233
Bureaux Administration;immeuble résidentiel;Chaudière gaz;Gaz;5;12.53582
Commerce;Supermarché;Autre système centralisé;Autres;8.27542;8.10171
Sport Loisir Culture;Patinoire;Electrique direct;Electricité;2.661119;7.012147
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Chaudière gaz;Gaz;5;12.20682
Enseignement Recherche;école;PAC;Electricité;0.30649;13.572
Habitat Communautaire;Résidence universitaire;Chaudière condensation gaz;Gaz;7.003194;3.644366
Commerce;Superette;PAC performant;Electricité;-2.3023;21.18935
Café Hôtel Restaurant;Grande cantine;PAC performant;Electricité;-0.86432;21.17813
Santé Action Sociale;Cabinet médical;Autre système centralisé performant;Urbain;3.972463;7.608267
Café Hôtel Restaurant;Petit restaurant rapide;Autre système centralisé performant;Urbain;6.18219;24.24776
Commerce;Grand process;Electrique direct performant;Electricité;1.29821;11.84895
Enseignement Recherche;Internat college;Chaudière fioul;Fioul;0.50194;10.23823
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Rooftop;Electricité;3.5403;13.72744
Commerce;Entrepôt;Rooftop;Electricité;4.793414;6.646146
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Autre système centralisé performant;Urbain;0.03599;24.47418
Sport Loisir Culture;Musée;Cassette rayonnante performant;Electricité;0.73716;11.89392
Santé Action Sociale;Garderie;Chaudière condensation gaz;Gaz;6.703616;4.190384
