"COD_BRANCHE";"COD_BAT_TYPE";"COD_PRODUCTION_CHAUD";"COD_ENERGIE";"ANNEE";"SURFACES";"BESOIN";"CONSOMMATION_EF"
"02";"67";"09";"02";"2010";55967.0652;10480074.827300001;3558719.8239999996
"02";"67";"10";"02";"2010";83264.0518;15804018.8041;5636040.268999999
"02";"67";"21";"01";"2010";134.1014;17453.2703;21194.009
"02";"67";"21";"06";"2010";341.5634;44454.4082;53812.38
"02";"67";"23";"03";"2010";72.9971;9500.5579;12637.081
"02";"67";"24";"04";"2010";1729.2785;225065.2509;229799.11
"02";"67";"26";"02";"2010";1911.1592;248736.9877;248737
"02";"67";"29";"02";"2010";98.231;12784.745;3762.432
"02";"67";"30";"02";"2010";195.8358;25487.9902;7657.27
"02";"68";"01";"01";"2010";28760.1124;5790766.4583;7900090.146600001
"02";"68";"01";"06";"2010";5561.3904;1270557.5179;1779243.0604
"02";"68";"03";"03";"2010";178953.3035;32262991.7619;57244487.765
"02";"68";"04";"04";"2010";349125.3217;66654842.91489999;98122843.3422
"02";"68";"06";"02";"2010";145760.9278;21001343.228699997;22827547.7374
"02";"68";"09";"02";"2010";58717.7687;9848411.026899999;3344225.8617
"02";"68";"10";"02";"2010";87411.3606;14868279.8811;5302335.0905
"02";"68";"21";"01";"2010";196.0678;23274.5812;27517.83
"02";"68";"21";"06";"2010";484.2617;57485.1568;69763.54
"02";"68";"23";"03";"2010";107.762;12792.0822;17001.705
"02";"68";"24";"04";"2010";4190.2095;642342.1094000001;655451.1
"02";"68";"26";"02";"2010";2681.3768;318297.6595;318297.7
"02";"68";"29";"02";"2010";137.736;16350.1998;4811.712
"02";"68";"30";"02";"2010";285.1882;33853.7786;10170.575
"02";"69";"01";"01";"2010";7260.0312;1156778.0074;1811428.1255
"02";"69";"01";"06";"2010";540.2373;118653.3612;162985.35
"02";"69";"03";"03";"2010";38088.5788;5738172.5396;10012514.917000001
"02";"69";"04";"04";"2010";111669.5344;18365986.407599997;26663740.953199998
"02";"69";"06";"02";"2010";32169.7875;4071024.3540999996;4425026.6587000005
"02";"69";"09";"02";"2010";13046.6167;1901748.0985;645776.8656
"02";"69";"10";"02";"2010";19438.4914;2875798.936;1025569.306
"02";"69";"21";"01";"2010";48.1544;5265.2117;7146.052
"02";"69";"21";"06";"2010";125.93;13769.2114;16391.919
"02";"69";"23";"03";"2010";29.188;3191.4217;4197.03
"02";"69";"24";"04";"2010";659.6227;72123.278;72999.27
"02";"69";"26";"02";"2010";676.5725;73976.5725;73976.57
"02";"69";"29";"02";"2010";34.8094;3806.0668;1120.0903
"02";"69";"30";"02";"2010";77.7469;8500.8616;2553.885
"02";"70";"01";"01";"2010";20037.2011;3814326.7857;5307259.057999999
"02";"70";"01";"06";"2010";80239.0713;15261603.5248;22809153.692
"02";"70";"03";"03";"2010";78146.0427;17136083.738900002;30453323.768000003
"02";"70";"04";"04";"2010";181214.4896;36173686.063;53322060.9638
"02";"70";"06";"02";"2010";205502.1819;36557360.771000005;39736266.5718
"02";"70";"09";"02";"2010";80431.5168;16305071.506700002;5536715.3555
"02";"70";"10";"02";"2010";123520.4123;25441938.776100002;9073120.9724
"02";"70";"21";"01";"2010";171.2505;22139.7613;26696.9185
"02";"70";"21";"06";"2010";438.5279;56694.1586;73438.0259
"02";"70";"23";"03";"2010";93.9841;12150.5371;16161.9272
"02";"70";"24";"04";"2010";2213.8996;286219.3606;292239.4961
"02";"70";"26";"02";"2010";2463.5475;318494.5650999999;318494.5826
"02";"70";"29";"02";"2010";122.5621;15845.1837;4663.0917
"02";"70";"30";"02";"2010";248.3814;32111.4677;9647.1397
"02";"71";"01";"01";"2010";2293.1129;414463.2649;538054.3282
"02";"71";"03";"03";"2010";5569.0103;923825.5798;1637988.6574
"02";"71";"04";"04";"2010";17865.9327;3198445.6652;4705672.802
"02";"71";"06";"02";"2010";13236.0433;1885168.0487000002;2049095.7578999996
"02";"71";"09";"02";"2010";4988.9076;794282.4580999999;269714.5137
"02";"71";"10";"02";"2010";7746.0963;1260808.0574;449630.1368
"02";"71";"21";"01";"2010";26.4145;3060.5055;3443.026
"02";"71";"23";"03";"2010";6.8175;789.9069;1049.7101
"02";"71";"24";"04";"2010";222.2241;31840.1964;32486.691
"02";"71";"26";"02";"2010";168.1456;19482.1226;19482.124
"02";"71";"29";"02";"2010";8.4369;977.538;287.6804
"02";"71";"30";"02";"2010";17.6511;2045.1376;614.4138
"02";"72";"01";"01";"2010";1411.1465;214376.7113;286293.6991
"02";"72";"03";"03";"2010";1628.3369;260189.3489;432783.3992
"02";"72";"04";"04";"2010";2134.2366;291356.5853;442589.3863
"02";"72";"06";"02";"2010";2963.9484;372721.0018;405131.5281
"02";"72";"09";"02";"2010";1093.3654;161149.7967;54381.8669
"02";"72";"10";"02";"2010";1679.7007;242556.8056;85961.2349
"02";"72";"21";"01";"2010";5.5139;451.7211;522.8254
"02";"72";"23";"03";"2010";1.7313;141.8352;184.7294
"02";"72";"24";"04";"2010";34.3731;2815.9839;2865.266
"02";"72";"26";"02";"2010";34.7765;2849.0321;2849.033
"02";"72";"29";"02";"2010";1.4868;121.8046;35.6237
"02";"72";"30";"02";"2010";3.6203;296.5896;88.5501
"02";"77";"01";"01";"2010";14732.7878;1761663.9858000001;2408948.82
"02";"77";"01";"06";"2010";323534.3824999999;34143361.827199996;48341165.3961
"02";"77";"03";"03";"2010";138784.8598;20667062.0248;37298428.9572
"02";"77";"04";"04";"2010";264409.2073;35121289.5023;52435481.781
"02";"77";"06";"02";"2010";299274.2558;33780058.6133;36717453.7177
"02";"77";"09";"02";"2010";71955.4247;8610662.2218;2923923.7600000002
"02";"77";"10";"02";"2010";105505.4692;13305559.4022;4745037.1611
"02";"77";"21";"01";"2010";284.6617;24065.9321;28520.89
"02";"77";"21";"06";"2010";486.4082;41122.029;50456.48
"02";"77";"23";"03";"2010";197.3793;16686.8842;22359.485
"02";"77";"24";"04";"2010";2357.0213;199267.8133;204608.09
"02";"77";"26";"02";"2010";4663.8213;394289.8064;394289.8
"02";"77";"29";"02";"2010";510.8857;43191.4112;12710.833
"02";"77";"30";"02";"2010";252.1738;21319.3329;6404.895
"02";"78";"01";"01";"2010";48879.3602;5385539.2069;7382507.399999999
"02";"78";"01";"06";"2010";577861.3121999999;60701956.6492;85231616.165
"02";"78";"03";"03";"2010";417810.0754;59828568.9178;107974308.91690001
"02";"78";"04";"04";"2010";560370.6017;74190760.9496;110765541.44880001
"02";"78";"06";"02";"2010";746948.9245;84653274.81629997;92014431.16750002
"02";"78";"09";"02";"2010";177900.7283;21862762.9423;7423940.5826
"02";"78";"10";"02";"2010";260886.6073;33721856.16200001;12025910.3621
"02";"78";"21";"01";"2010";651.6627;54347.6917;64561.2841
"02";"78";"21";"06";"2010";1109.9173;92565.438;112637.4313
"02";"78";"23";"03";"2010";453.6787;37836.1231;50698.273
"02";"78";"24";"04";"2010";5396.6731;450074.4415;462136.2059
"02";"78";"26";"02";"2010";10690.9307;891607.5840000001;891607.5967
"02";"78";"29";"02";"2010";1171.3044;97685.03;28747.798
"02";"78";"30";"02";"2010";576.0334;48040.3215;14432.5903
"02";"79";"01";"01";"2010";241432.3177999999;36005722.985;48940769.23000001
"02";"79";"01";"06";"2010";440188.0872;64227242.585;92894478.9226
"02";"79";"03";"03";"2010";1848180.7936999998;228278258.83660007;412352381.20469993
"02";"79";"04";"04";"2010";3498183.479;444038050.5409999;663337450.4557998
"02";"79";"06";"02";"2010";704831.7331000001;72093680.736;78362702.9082
"02";"79";"09";"02";"2010";259394.2912;30301112.454099994;10289351.641499998
"02";"79";"10";"02";"2010";379123.3918999999;47663203.943799995;16997682.666499995
"02";"79";"21";"01";"2010";1744.0361;140606.6495;165653.4543
"02";"79";"21";"06";"2010";2965.1006;239050.5912;299674.7813
"02";"79";"23";"03";"2010";1222.6633;98572.8391;132099.7604
"02";"79";"24";"04";"2010";14807.7579;1193822.3209000002;1225942.0046
"02";"79";"26";"02";"2010";27446.6416;2212786.9455999997;2212787.1374
"02";"79";"29";"02";"2010";3090.3214;249146.0687;73321.3888
"02";"79";"30";"02";"2010";1616.8739;130354.6536;39162.0116
"03";"09";"01";"01";"2010";170078.2843;9220829.0277;5737201.195
"03";"09";"01";"06";"2010";98093.9977;5261176.1578;3279830.2758
"03";"09";"03";"03";"2010";986423.0492;54450836.387099996;78982933.58
"03";"09";"04";"04";"2010";1719381.8676;98676758.06670001;126395238.90599999
"03";"09";"06";"02";"2010";802390.9088;50685377.46750001;55092800.57
"03";"09";"10";"02";"2010";636206.623;36532086.7244;13028096.823
"03";"09";"21";"01";"2010";1025.9342;36619.0285;19746.035
"03";"09";"21";"06";"2010";1724.3161;61546.618;33252.27
"03";"09";"23";"03";"2010";743.012;26520.5873;34822.2
"03";"09";"24";"04";"2010";15841.9992;565454.0221;571512.1000000001
"03";"09";"26";"02";"2010";8183.4222;292093.7528;292093.76
"03";"09";"30";"02";"2010";2272.0118;81095.7124;24363.305
"03";"12";"01";"01";"2010";407801.6313000001;24062091.499300007;14737607.878299998
"03";"12";"01";"06";"2010";296181.8657;16311927.148599999;10071577.5275
"03";"12";"03";"03";"2010";2702380.7116;166004774.22460002;240796032.6929
"03";"12";"04";"04";"2010";3502259.5012;215584694.57680002;276142830.95489997
"03";"12";"06";"02";"2010";497957.9409000001;31841811.900000006;34610661.2206
"03";"12";"10";"02";"2010";418090.9296999999;26619154.99519999;9492941.175399994
"03";"12";"21";"01";"2010";1841.1016;71180.7254;37783.7075
"03";"12";"21";"06";"2010";3159.4614;122151.1915;65363.4409
"03";"12";"23";"03";"2010";1235.7538;47776.7504;62732.0753
"03";"12";"24";"04";"2010";29389.169;1136244.9334000002;1148418.1453000002
"03";"12";"26";"02";"2010";13043.9346;504304.9907;504305.0054000001
"03";"12";"30";"02";"2010";4112.8938;159012.8235;47771.6777
"03";"15";"01";"01";"2010";23310.7444;2057093.4097999998;1198283.5929999999
"03";"15";"01";"06";"2010";12155.756;1067832.6832;609354.3509
"03";"15";"03";"03";"2010";89447.1614;7628416.212400001;11177166.983000001
"03";"15";"04";"04";"2010";260959.0623;22599010.283299997;28999117.807699997
"03";"15";"06";"02";"2010";69560.0636;6220013.4608000005;6760884.517
"03";"15";"09";"02";"2010";56546.5818;4646527.543199999;1433449.778
"03";"15";"21";"01";"2010";152.436;8709.9339;4397.179
"03";"15";"21";"06";"2010";258.8116;14788.0549;7313.578
"03";"15";"23";"03";"2010";83.0318;4744.2959;6263.097
"03";"15";"24";"04";"2010";1807.0842;103253.7191;104634.9
"03";"15";"26";"02";"2010";1385.0955;79142.0022;79142
"03";"15";"29";"02";"2010";97.0532;5545.4549;1648.5688
"03";"17";"01";"01";"2010";893460.9953000001;97531120.036;59798355.282299995
"03";"17";"01";"06";"2010";349672.8768;37511084.2942;23044035.7525
"03";"17";"03";"03";"2010";6255175.980900001;697856358.6871;1012266244
"03";"17";"04";"04";"2010";9700674.787899999;1110905315.3717;1422960661.5
"03";"17";"06";"02";"2010";4327460.6663;495386242.10850006;538463300.9
"03";"17";"10";"02";"2010";4416683.8349;534120322.7291;190478350.44
"03";"17";"21";"01";"2010";6739.5603;480616.9157;255389.16
"03";"17";"21";"06";"2010";11453.9413;816812.6252;434891.2
"03";"17";"23";"03";"2010";3394.894;242099.3968;317882.62
"03";"17";"24";"04";"2010";72392.9373;5162543.059;5217853
"03";"17";"26";"02";"2010";66641.5171;4752393.1806;4752393
"03";"17";"30";"02";"2010";14273.9348;1017914.2575999999;305808.51
"03";"19";"01";"01";"2010";632084.5759;52045618.526499994;32032015.1761
"03";"19";"01";"06";"2010";412331.9321;32291394.110299997;19584781.1299
"03";"19";"03";"03";"2010";3701622.0843999996;307811349.6814;446491657.59000003
"03";"19";"04";"04";"2010";8416536.832399998;707094828.4278;905718991.0361001
"03";"19";"06";"02";"2010";2224485.9878;197092063.57380006;214230499.90909997
"03";"19";"10";"02";"2010";3600599.1068999995;311945739.9724;111246288.26469998
"03";"19";"21";"01";"2010";4043.4649;205397.9487;109557.2575
"03";"19";"21";"06";"2010";7097.3716;360528.8048;189512.5721
"03";"19";"23";"03";"2010";2799.9712;142231.565;186753.5879
"03";"19";"24";"04";"2010";68613.1906;3485379.2356000002;3522720.057
"03";"19";"26";"02";"2010";38060.9385;1933400.9041;1933401.1839
"03";"19";"30";"02";"2010";9124.8635;463520.3449;139253.8363
"03";"26";"01";"01";"2010";222218.1646;15418456.8213;9512554.3464
"03";"26";"01";"06";"2010";205876.9461;15088143.763700001;9274128.7922
"03";"26";"03";"03";"2010";1852892.664;135972553.1495;197691983.97
"03";"26";"04";"04";"2010";2565371.0971000004;194413693.66889998;249536264.41730002
"03";"26";"06";"02";"2010";1463826.0672000002;116326199.5907;126441523.1813
"03";"26";"09";"02";"2010";1141127.1726;83587639.6863;25527622.297399998
"03";"26";"21";"01";"2010";2126.1674;96927.3367;51828.5342
"03";"26";"21";"06";"2010";3636.7887;165793.2687;88313.892
"03";"26";"23";"03";"2010";1339.2214;61052.1841;80448.254
"03";"26";"24";"04";"2010";27356.2377;1247111.2402;1264049.4457999999
"03";"26";"26";"02";"2010";24182.4912;1223171.1397;1223171.117
"03";"26";"29";"02";"2010";1207.6529;55054.2629;16201.9613
"03";"27";"01";"01";"2010";51747.0691;3561139.0121;2199999.5999999996
"03";"27";"01";"06";"2010";59889.3537;4314372.306;2641344.5704
