ID_AGREG_PARC;ID_AGREG;ID_GESTE_BATI;BRANCHE;SS_BRANCHE;BAT_TYPE;OCCUPANT;PERIODE_DETAIL;GESTE;CINT;COUT_VARIABLE
01014204;0101420407;0101420407GTB;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1981_1998;GTB;0.002621;9.06697
01014204;0101420411;0101420411Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1999_2008;Etat initial;0;3.023475
01014204;0101420411;0101420411FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1999_2008;FEN_MURBBC;-2.958522;10.9824
01014204;0101420411;0101420411FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1999_2008;FENBBC;-1.373398;9.397276
01014204;0101420411;0101420411GTB;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_1999_2008;GTB;-1.961789;7.062496
01014204;0101420417;0101420417FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_BEFORE_1980;FEN_MURBBC;17.18097;19.87256
01014204;0101420417;0101420417GTB;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_BEFORE_1980;GTB;7.16345;16.39115
01014204;0101420417;0101420417FENMOD;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_BEFORE_1980;FENMOD;7.0128;18.46728
01014204;0101420417;0101420417ENSMOD;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_BEFORE_1980;ENSMOD;18.88559;8.900638
01014204;0101420417;0101420417ENSBBC;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_BEFORE_1980;ENSBBC;32.65998;7.747179
01014204;0101420417;0101420417Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_BEFORE_1980;Etat initial;0;13.99837
01014204;0101420417;0101420417FEN_MURMOD;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_BEFORE_1980;FEN_MURMOD;5.4775;20.00258
01014204;0101420417;0101420417FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Para public;PERIODE_BEFORE_1980;FENBBC;18.81425;18.23928
01014205;0101420507;0101420507GTB;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1981_1998;GTB;0.097134;9.940486
01014205;0101420507;0101420507FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1981_1998;FENBBC;0.94145;14.84864
01014205;0101420507;0101420507ENSBBC;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1981_1998;ENSBBC;4.1676;13.05162
01014205;0101420507;0101420507FENMOD;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1981_1998;FENMOD;-2.01723;12.87538
01014205;0101420507;0101420507Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1981_1998;Etat initial;0;5.956086
01014205;0101420507;0101420507FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1981_1998;FEN_MURBBC;-1.88739;17.67748
01014205;0101420511;0101420511FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1999_2008;FENBBC;-2.181746;11.93116
01014205;0101420511;0101420511GTB;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1999_2008;GTB;-1.80282;8.000436
01014205;0101420511;0101420511Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1999_2008;Etat initial;0;3.673674
01014205;0101420511;0101420511FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_1999_2008;FEN_MURBBC;-4.280886;14.0303
01014205;0101420517;0101420517Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_BEFORE_1980;Etat initial;0;16.81717
01014205;0101420517;0101420517FEN_MURMOD;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_BEFORE_1980;FEN_MURMOD;5.88173;24.72918
01014205;0101420517;0101420517FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_BEFORE_1980;FEN_MURBBC;19.92645;24.58841
01014205;0101420517;0101420517GTB;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_BEFORE_1980;GTB;9.1253;19.1724
01014205;0101420517;0101420517ENSMOD;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_BEFORE_1980;ENSMOD;20.60949;12.77195
01014205;0101420517;0101420517FENMOD;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_BEFORE_1980;FENMOD;7.91113;22.69978
01014205;0101420517;0101420517FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_BEFORE_1980;FENBBC;22.08902;22.42584
01014205;0101420517;0101420517ENSBBC;Bureaux Administration;Administration;immeuble peri urbain;Privé;PERIODE_BEFORE_1980;ENSBBC;37.08478;11.45902
01014206;0101420607;0101420607ENSBBC;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1981_1998;ENSBBC;4.950145;8.538635
01014206;0101420607;0101420607FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1981_1998;FENBBC;0.77469;11.59458
01014206;0101420607;0101420607FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1981_1998;FEN_MURBBC;-1.42922;13.79849
01014206;0101420607;0101420607GTB;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1981_1998;GTB;-0.595385;8.458418
01014206;0101420607;0101420607FENMOD;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1981_1998;FENMOD;-1.543009;10.04881
01014206;0101420607;0101420607Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1981_1998;Etat initial;0;4.665737
01014206;0101420611;0101420611FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1999_2008;FENBBC;0.290201;9.888399
01014206;0101420611;0101420611FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1999_2008;FEN_MURBBC;-1.03465;11.21325
01014206;0101420611;0101420611Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1999_2008;Etat initial;0;3.835395
01014206;0101420611;0101420611GTB;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_1999_2008;GTB;-1.282183;7.752628
01014206;0101420617;0101420617FENBBC;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_BEFORE_1980;FENBBC;21.36639;19.4515
01014206;0101420617;0101420617ENSBBC;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_BEFORE_1980;ENSBBC;36.59339;7.918836
01014206;0101420617;0101420617FEN_MURMOD;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_BEFORE_1980;FEN_MURMOD;6.9054;21.16327
01014206;0101420617;0101420617GTB;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_BEFORE_1980;GTB;8.34761;17.59996
01014206;0101420617;0101420617FEN_MURBBC;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_BEFORE_1980;FEN_MURBBC;19.81706;21.00083
01014206;0101420617;0101420617ENSMOD;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_BEFORE_1980;ENSMOD;21.3988;9.210297
01014206;0101420617;0101420617FENMOD;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_BEFORE_1980;FENMOD;8.36599;19.70268
01014206;0101420617;0101420617Etat initial;Bureaux Administration;Administration;immeuble peri urbain;Régions;PERIODE_BEFORE_1980;Etat initial;0;15.4205
01014401;0101440107;0101440107ENSMOD;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1981_1998;ENSMOD;4.473629;5.088112
01014401;0101440107;0101440107FENMOD;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1981_1998;FENMOD;1.268808;7.499347
01014401;0101440107;0101440107ENSBBC;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1981_1998;ENSBBC;9.812537;4.092293
01014401;0101440107;0101440107FENBBC;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1981_1998;FENBBC;5.537143;7.213647
01014401;0101440107;0101440107FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1981_1998;FEN_MURBBC;5.387659;7.363131
01014401;0101440107;0101440107GTB;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1981_1998;GTB;-0.481508;8.587069
01014401;0101440107;0101440107Etat initial;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1981_1998;Etat initial;0;4.817091
01014401;0101440107;0101440107FEN_MURMOD;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1981_1998;FEN_MURMOD;1.006082;7.762073
01014401;0101440111;0101440111Etat initial;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1999_2008;Etat initial;0;1.946321
01014401;0101440111;0101440111FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1999_2008;FEN_MURBBC;1.205746;3.959648
01014401;0101440111;0101440111ENSBBC;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1999_2008;ENSBBC;2.802281;2.830621
01014401;0101440111;0101440111GTB;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_1999_2008;GTB;-2.863321;6.146915
01014401;0101440117;0101440117FEN_MURMOD;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_BEFORE_1980;FEN_MURMOD;11.29074;12.05315
01014401;0101440117;0101440117ENSBBC;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_BEFORE_1980;ENSBBC;32.74825;4.271274
01014401;0101440117;0101440117FENBBC;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_BEFORE_1980;FENBBC;20.92614;13.02091
01014401;0101440117;0101440117GTB;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_BEFORE_1980;GTB;6.18624;15.3936
01014401;0101440117;0101440117FENMOD;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_BEFORE_1980;FENMOD;10.01614;13.32775
01014401;0101440117;0101440117ENSMOD;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_BEFORE_1980;ENSMOD;20.10628;5.350425
01014401;0101440117;0101440117Etat initial;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_BEFORE_1980;Etat initial;0;12.82478
01014401;0101440117;0101440117FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Bloc communal;PERIODE_BEFORE_1980;FEN_MURBBC;22.32889;11.61816
01014402;0101440207;0101440207FEN_MURMOD;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1981_1998;FEN_MURMOD;0.644245;7.492369
01014402;0101440207;0101440207GTB;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1981_1998;GTB;-0.77041;8.292154
01014402;0101440207;0101440207Etat initial;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1981_1998;Etat initial;0;4.470132
01014402;0101440207;0101440207ENSBBC;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1981_1998;ENSBBC;8.902638;4.000672
01014402;0101440207;0101440207FENBBC;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1981_1998;FENBBC;4.899825;6.932565
01014402;0101440207;0101440207FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1981_1998;FEN_MURBBC;4.703869;7.128521
01014402;0101440207;0101440207FENMOD;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1981_1998;FENMOD;0.938927;7.197687
01014402;0101440207;0101440207ENSMOD;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1981_1998;ENSMOD;3.95631;4.916731
01014402;0101440211;0101440211GTB;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1999_2008;GTB;-3.022592;5.985184
01014402;0101440211;0101440211FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1999_2008;FEN_MURBBC;0.863442;3.796986
01014402;0101440211;0101440211ENSBBC;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1999_2008;ENSBBC;2.303615;2.778618
01014402;0101440211;0101440211Etat initial;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_1999_2008;Etat initial;0;1.75605
01014402;0101440217;0101440217ENSMOD;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_BEFORE_1980;ENSMOD;17.82704;5.162374
01014402;0101440217;0101440217FENMOD;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_BEFORE_1980;FENMOD;8.72444;12.35694
01014402;0101440217;0101440217Etat initial;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_BEFORE_1980;Etat initial;0;11.58179
01014402;0101440217;0101440217GTB;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_BEFORE_1980;GTB;5.15124;14.33706
01014402;0101440217;0101440217FEN_MURBBC;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_BEFORE_1980;FEN_MURBBC;19.76681;10.89006
01014402;0101440217;0101440217FENBBC;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_BEFORE_1980;FENBBC;18.57703;12.07984
01014402;0101440217;0101440217ENSBBC;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_BEFORE_1980;ENSBBC;29.23306;4.19849
01014402;0101440217;0101440217FEN_MURMOD;Bureaux Administration;Administration;immeuble rénové;Départements;PERIODE_BEFORE_1980;FEN_MURMOD;9.80705;11.27433
01014403;0101440307;0101440307GTB;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1981_1998;GTB;-0.637335;8.428
01014403;0101440307;0101440307Etat initial;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1981_1998;Etat initial;0;4.62995
01014403;0101440307;0101440307FENMOD;Bureaux Administration;Administration;immeuble rénové;Etat;PERIODE_1981_1998;FENMOD;1.090879;7.336639
