"scenario";"annee";"surface";"surface_lag";"raccordement"
"S1";"2047";49744930.5864;50225445.8285;-480515.2421
"S1";"2048";48937040.6853;49744930.5864;-807889.901099995
"S1";"2049";47818838.8957;48937040.6853;-1118201.78960001
"S1";"2050";46547815.7271;47818838.8957;-1271023.1686
"S2";"2009";56476789.6076;0;56476789.6076
"S2";"2010";54501911.4817;56476789.6076;-1974878.12590001
"S2";"2011";52483807.3065;54501911.4817;-2018104.1752
"S2";"2012";50532390.3427;52483807.3065;-1951416.9638
"S2";"2013";48784690.8793;50532390.3427;-1747699.46339999
"S2";"2014";46886639.5536;48784690.8793;-1898051.32570001
"S2";"2015";45008113.6518;46886639.5536;-1878525.9018
"S2";"2016";43419182.7163;45008113.6518;-1588930.9355
"S2";"2017";41912949.3041;43419182.7163;-1506233.4122
"S2";"2018";41437656.8969;41912949.3041;-475292.407200001
"S2";"2019";41231973.8151;41437656.8969;-205683.081800006
"S2";"2020";41260157.2257;41231973.8151;28183.4106000066
"S2";"2021";41337179.4402;41260157.2257;77022.2145000026
"S2";"2022";41536310.4484;41337179.4402;199131.008199997
"S2";"2023";41812594.0615;41536310.4484;276283.6131
"S2";"2024";42237348.9917;41812594.0615;424754.930200003
"S2";"2025";42790284.7179;42237348.9917;552935.726199999
"S2";"2026";43830653.4524;42790284.7179;1040368.7345
"S2";"2027";45040704.777;43830653.4524;1210051.3246
"S2";"2028";46450490.7005;45040704.777;1409785.92349999
"S2";"2029";48091339.3604;46450490.7005;1640848.6599
"S2";"2030";49894007.5811;48091339.3604;1802668.2207
"S2";"2031";51755320.8545;49894007.5811;1861313.27339999
"S2";"2032";53778943.4557;51755320.8545;2023622.60120001
"S2";"2033";55921513.2049;53778943.4557;2142569.74919999
"S2";"2034";58171286.7123;55921513.2049;2249773.50740001
"S2";"2035";63429711.5805;58171286.7123;5258424.8682
"S2";"2036";68792363.0553;63429711.5805;5362651.4748
"S2";"2037";74234594.2094;68792363.0553;5442231.1541
"S2";"2038";79819815.1897;74234594.2094;5585220.98029999
"S2";"2039";85803460.9831;79819815.1897;5983645.7934
"S2";"2040";92072743.1292;85803460.9831;6269282.1461
"S2";"2041";97821647.2166;92072743.1292;5748904.0874
"S2";"2042";103522153.3041;97821647.2166;5700506.08749999
"S2";"2043";108264465.4152;103522153.3041;4742312.11110002
"S2";"2044";112779122.5257;108264465.4152;4514657.11049999
"S2";"2045";117295442.7297;112779122.5257;4516320.204
"S2";"2046";121147956.1322;117295442.7297;3852513.4025
"S2";"2047";124968769.3315;121147956.1322;3820813.19929999
"S2";"2048";128682587.2324;124968769.3315;3713817.90090002
"S2";"2049";132393533.2187;128682587.2324;3710945.98629999
"S2";"2050";136052154.4897;132393533.2187;3658621.27099998
"S3";"2009";56476789.6076;0;56476789.6076
"S3";"2010";54501911.4817;56476789.6076;-1974878.12590001
"S3";"2011";52480106.29;54501911.4817;-2021805.1917
"S3";"2012";50520773.5435;52480106.29;-1959332.74649999
"S3";"2013";48756183.0095;50520773.5435;-1764590.534
"S3";"2014";46842695.8341;48756183.0095;-1913487.1754
"S3";"2015";44943817.3069;46842695.8341;-1898878.5272
"S3";"2016";43303705.2978;44943817.3069;-1640112.00910001
"S3";"2017";41739586.0723;43303705.2978;-1564119.2255
"S3";"2018";41223807.3755;41739586.0723;-515778.696800008
"S3";"2019";40861041.568;41223807.3755;-362765.807499997
"S3";"2020";40712143.1808;40861041.568;-148898.387199998
"S3";"2021";40531572.477;40712143.1808;-180570.703799993
"S3";"2022";40663512.7946;40531572.477;131940.317599997
"S3";"2023";40878823.0379;40663512.7946;215310.243299998
"S3";"2024";41235141.8533;40878823.0379;356318.815400004
"S3";"2025";41788881.8723;41235141.8533;553740.018999994
"S3";"2026";42659271.7717;41788881.8723;870389.899399996
"S3";"2027";43974208.698;42659271.7717;1314936.9263
"S3";"2028";45542682.6462;43974208.698;1568473.9482
"S3";"2029";47437667.1628;45542682.6462;1894984.5166
"S3";"2030";49578923.0547;47437667.1628;2141255.8919
"S3";"2031";51766685.8289;49578923.0547;2187762.77419999
"S3";"2032";54207993.2813;51766685.8289;2441307.45240001
"S3";"2033";56839500.4666;54207993.2813;2631507.1853
"S3";"2034";59809131.6014;56839500.4666;2969631.1348
"S3";"2035";66765304.065;59809131.6014;6956172.4636
"S3";"2036";74283786.2271;66765304.065;7518482.16209999
"S3";"2037";82360071.7442;74283786.2271;8076285.51710001
"S3";"2038";91083148.4676;82360071.7442;8723076.7234
"S3";"2039";100384139.9393;91083148.4676;9300991.4717
"S3";"2040";110086682.0923;100384139.9393;9702542.153
"S3";"2041";119519558.2854;110086682.0923;9432876.19310001
"S3";"2042";129863416.0859;119519558.2854;10343857.8005
"S3";"2043";140074745.2199;129863416.0859;10211329.134
"S3";"2044";150866255.353;140074745.2199;10791510.1331
"S3";"2045";162006280.5303;150866255.353;11140025.1773
"S3";"2046";172364233.6468;162006280.5303;10357953.1165
"S3";"2047";182628565.7865;172364233.6468;10264332.1397
"S3";"2048";193022600.1541;182628565.7865;10394034.3676
"S3";"2049";203188764.3941;193022600.1541;10166164.24
"S3";"2050";213217239.5869;203188764.3941;10028475.1928
